,Produto,Saldo Inicial,Entradas,Devoluções,Compras,Saídas,Prêmio,Quant. Vendas,Valor Vendas,Lucro Bruto,Estoque Final,Mês,Ano,Mês/Ano,insertion_id
0,MANTA STRASS OURO,0.0,248.0,,,,,43.0,59.93,27.68,205.0,09,2020,09-2020,5442742825
1,Linha Rayza - Branco Optico,43.0,,,,4.0,,26.0,220.39,77.39,13.0,09,2020,09-2020,4645908054
2,BOTÃO PEZINHO P,0.0,3000.0,,,,,24.0,9.56,4.76,2976.0,09,2020,09-2020,9259742849
3,AGULHA MÃO DARNING N 5,0.0,117.0,,,,,23.0,8.0,4.55,94.0,09,2020,09-2020,3774922148
4,Linha Rayza - Preto,35.0,,,,17.0,,16.0,136.0,48.0,2.0,09,2020,09-2020,1130657558
5,MASCARAS TRICOLINE,0.0,84.0,,,2.0,,16.0,96.0,32.0,66.0,09,2020,09-2020,3862391649
6,ELASTICO 06MM BRANCO CHATO ROLO POR METRO,0.0,100.0,,,,,15.0,14.99,8.24,85.0,09,2020,09-2020,7228209998
7,ARGOLA 26,50.0,,,,12.0,,13.0,3.88,2.32,25.0,09,2020,09-2020,4386457168
8,COSTURA DRIMA - Branca,104.0,,,,7.0,,11.0,22.0,9.79,86.0,09,2020,09-2020,6178239363
9,LÃ MOLLET 40G -0850 CASTANHO,14.0,,,,,,11.0,41.8,14.3,3.0,09,2020,09-2020,2197736055
10,FITA CETIM PROGRESSO 9 - 0310 ,0.0,20.0,,,,,10.0,18.0,10.0,10.0,09,2020,09-2020,1253016791
11,OLHO P AMIGURUMI -16 PRETO,30.0,2.0,,,,,10.0,9.73,4.73,22.0,09,2020,09-2020,5794446578
12,TECIDO 1/4,0.0,132.0,,,,,10.0,55.75,25.75,122.0,09,2020,09-2020,2012810254
13,ELASTICO 29MM BRANCO ,0.0,22.0,,,,,10.0,30.0,15.0,12.0,09,2020,09-2020,3186495157
14,MEIA SEDA,0.0,25.0,,,,,10.0,25.0,7.0,15.0,09,2020,09-2020,2070713756
15,AGULHA CROCHÊ C/ CABO PLÁSTICO,0.0,12.0,,,,,10.0,69.56,39.56,2.0,09,2020,09-2020,7602396141
16,COSTURA DRIMA - PT,40.0,,,,,,8.0,16.0,7.12,32.0,09,2020,09-2020,356873939
17,PASSAMANARIA - BEJE,0.0,20.0,,,,,8.0,20.0,10.0,12.0,09,2020,09-2020,4759593472
18,BOTÃO DE CAMISA COMUM,0.0,1920.0,,,,,8.0,2.4,1.2,1912.0,09,2020,09-2020,2454764862
19,AGULHA COSTURA DARNING -5,0.0,95.0,,,,,8.0,4.0,2.4,87.0,09,2020,09-2020,1299782237
20,Alfinete de segurança - 19mm,200.0,,,,,,7.0,2.1,1.05,193.0,09,2020,09-2020,8326702896
21,BARBANTE EUROROMA 6 - CRU,12.0,,,,1.0,,7.0,113.46,50.46,4.0,09,2020,09-2020,278141239
22,Linha Rayza - Amarelo Ouro,20.0,,,,2.0,,6.0,50.5,17.5,12.0,09,2020,09-2020,805677590
23,Colchete de Gancho 3 ,204.0,,,,,,6.0,1.8,1.2,198.0,09,2020,09-2020,7171199327
24,"Colchete pressão - 008 - 8,5mm",199.0,,,,,,6.0,3.0,1.68,193.0,09,2020,09-2020,7391472526
25,BARBANTE LIMA 6 CAFÉ C/ LEITE,8.0,,,,1.0,,6.0,99.0,30.0,1.0,09,2020,09-2020,467567253
26,LÃ SHINE - 50 ,6.0,5.0,,,5.0,,6.0,95.4,36.6,0.0,09,2020,09-2020,3831561692
27,TECIDO SACARIA ,25.0,110.0,,,6.0,,6.0,45.0,17.4,123.0,09,2020,09-2020,4208149010
28,PANOS DE PRATO EMBAINHADO BRANCO,33.0,,,,,,6.0,30.0,15.0,27.0,09,2020,09-2020,937873357
29,ARGOLA 120,6.0,,,,,,6.0,12.0,6.0,0.0,09,2020,09-2020,8530270609
30,BASTIDOR ,6.0,,,,,,6.0,40.55,19.55,0.0,09,2020,09-2020,2602687063
31,BARBANTE EUROROMA 6 - MOSTARDA,12.0,,,,6.0,,6.0,97.87,43.87,0.0,09,2020,09-2020,195378065
32,FIO DE MALHA - VERDE CLARO,12.0,,,,,,6.0,120.0,54.0,6.0,09,2020,09-2020,6413659512
33,BOTÃO MINI - PRETO,0.0,72.0,,,,,6.0,1.5,0.72,66.0,09,2020,09-2020,6275418510
34,BOTÃO BLUSA - 36,0.0,200.0,,,,,6.0,3.0,1.5,194.0,09,2020,09-2020,4682170807
35,Linha Rayza - Creme,10.0,,,,2.0,,5.0,42.0,14.5,3.0,09,2020,09-2020,8653696538
36,Meada Anchor - 9046,5.0,,,,,,5.0,16.77,9.02,0.0,09,2020,09-2020,4633381536
37,"colchete pressão - 009  9,8mm",212.0,,,,,,5.0,3.5,2.3,207.0,09,2020,09-2020,4172076912
38,guardanapos papel p/decoupage,295.0,,,,,,5.0,12.5,5.0,290.0,09,2020,09-2020,3280939295
39,COLA TEK BOND 2 20G,8.0,20.0,,,2.0,,5.0,52.36,17.72,21.0,09,2020,09-2020,3908407079
