,Produto,Saldo Inicial,Entradas,Devoluções,Compras,Saídas,Prêmio,Quant. Vendas,Valor Vendas,Lucro Bruto,Estoque Final,Mês,Ano,Mês/Ano,insertion_id
0,PLÁSTICO ADESIVO - AZULEJO ,922.0,,,,,,345.0,41.4,13.8,577.0,03,2021,03-2021,1530578354
1,PLÁSTICO ADESIVO - AZULEJO MARROM,0.0,800.0,,,,,150.0,18.0,6.0,650.0,03,2021,03-2021,8406008443
2,FITA CETIM PROGRESSO 1 - 212 AZUL,98.0,,,,,,98.0,16.08,1.38,0.0,03,2021,03-2021,8519741314
3,FITA CETIM PROGRESSO 1 - 386 TURQUESA,398.0,,,,,,91.0,14.92,1.27,307.0,03,2021,03-2021,2857710096
4,LÃ MOLLET 40G -3635 VERMELHO,63.0,,,,,,54.0,204.0,69.0,9.0,03,2021,03-2021,9719774663
5,ELASTICO CHATO BRANCO 8,190.0,,,,,,50.0,44.4,24.4,140.0,03,2021,03-2021,6122152439
6,FITA CETIM PROGRESSO 1 - VINHO,0.0,100.0,,,,,30.0,10.0,5.5,70.0,03,2021,03-2021,1909380382
7,ELASTICO 06MM BRANCO CHATO ROLO POR METRO,92.0,,,,,,28.0,27.75,15.15,64.0,03,2021,03-2021,3938754156
8,Alfinete de segurança - 50MM,119.0,,,,,,23.0,13.8,8.05,96.0,03,2021,03-2021,4231104918
9,FITA CETIM PROGRESSO 2 - 0389 VINHO,30.0,,,,,,20.0,10.0,4.0,10.0,03,2021,03-2021,5393925134
10,ELASTICO CHATO BRANCO 16,55.0,,,,,,19.0,28.5,19.0,36.0,03,2021,03-2021,5596147817
11,TECIDO 1/4,80.0,34.0,,,,,19.0,114.0,57.0,95.0,03,2021,03-2021,7494027718
12,ELÁSTICO 14MM  ROLO BRANCO,45.0,,,,,,19.0,28.08,16.68,26.0,03,2021,03-2021,581439439
13,AGULHA COSTURA DARNING - 2/0,0.0,15.0,,,,,15.0,15.0,7.5,0.0,03,2021,03-2021,5563252271
14,BOTÃO MADEIRA PP,257.0,,,,,,15.0,5.8,2.8,242.0,03,2021,03-2021,9197011415
