,Produto,Saldo Inicial,Entradas,Devoluções,Compras,Saídas,Prêmio,Quant. Vendas,Valor Vendas,Lucro Bruto,Estoque Final,Mês,Ano,Mês/Ano,insertion_id
0,ELASTICO 06MM PRETO CHATO ROLO VENDA POR METRO,47.0,,,,,,37.0,35.0,18.35,10.0,01,2021,01-2021,6882823331
1,AGULHA MAQUINA SINGER 14 -90/14,88.0,,,,,,16.0,22.31,10.31,72.0,01,2021,01-2021,9451622523
2,CIRCULO 3CM,8.0,,,,,,14.0,6.64,3.84,-6.0,01,2021,01-2021,866169667
3,BOTÃO BLUSA - 36,185.0,,,,,,14.0,7.0,3.5,171.0,01,2021,01-2021,6506742731
4,ELASTICO 06MM BRANCO CHATO ROLO POR METRO,130.0,,,,,,13.0,13.0,7.15,117.0,01,2021,01-2021,490961808
5,PANO DE PRATO BRANCO EMBAINHADO,56.0,,,,,,11.0,55.0,22.0,45.0,01,2021,01-2021,8251211418
6,FITA CETIM PROGRESSO 5 - 0201 BRANCO,40.0,,,,,,10.0,10.0,5.0,30.0,01,2021,01-2021,3752671779
7,FITA CETIM PROGRESSO 5 - 0344 ROSA ANTIGO,10.0,40.0,,,,,10.0,8.0,3.0,40.0,01,2021,01-2021,3255710589
8,FITA CETIM PROGRESSO 2 - 0303 PINK,40.0,,,,,,10.0,6.0,3.0,30.0,01,2021,01-2021,3577658124
9,FITA CETIM PROGRESSO 2 - 0213 TURQUESA,40.0,,,,,,10.0,5.87,2.87,30.0,01,2021,01-2021,9980523386
10,CIRCULO 4CM ,18.0,,,,,,10.0,5.69,2.69,8.0,01,2021,01-2021,6543950833
11,RESINA DIVINOPOMBINHA C/2,10.0,,,,,,10.0,27.48,12.98,0.0,01,2021,01-2021,737147215
12,FITA CETIM PROGRESSO 1 - 201 BRANCO,305.0,,,,,,10.0,3.5,2.0,295.0,01,2021,01-2021,5126377704
13,AGULHA MÁQUINA SINGER 80/12,98.0,,,,,,10.0,13.31,7.31,88.0,01,2021,01-2021,4160884117
14,ELASTICO CHATO BRANCO 8,0.0,200.0,,,,,10.0,8.0,4.0,190.0,01,2021,01-2021,2689916148
15,COSTURA DRIMA - PT,66.0,,,,,,9.0,22.5,11.7,57.0,01,2021,01-2021,6358608221
16,BARBANTE LIMA 8 CRU,18.0,,,,,,9.0,175.14,59.04,9.0,01,2021,01-2021,5236112416
17,PLACA REDONDA 10 DIAMETRO,20.0,,,,,,8.0,11.33,5.73,12.0,01,2021,01-2021,4297702188
18,COSTURA DRIMA - Branca,38.0,,,,,,7.0,17.5,9.1,31.0,01,2021,01-2021,323753679
19,CX TAMPA SAPATO 10X10X5,12.0,,,,,,7.0,21.0,10.5,5.0,01,2021,01-2021,1195143298
20,LINHA CLÉA 1000 -8001 BRANCO,12.0,,,,,,6.0,93.0,33.0,6.0,01,2021,01-2021,4646831249
21,MASCARAS TRICOLINE,17.0,18.0,,,,,6.0,41.0,17.0,29.0,01,2021,01-2021,7701048473
22,BOTÃO DE CAMISA COMUM,1796.0,,,,,,6.0,1.8,0.9,1790.0,01,2021,01-2021,3967621674
23,AMIGURUMI PELUCIA -7569,6.0,,,,,,6.0,81.0,27.0,0.0,01,2021,01-2021,3254851836
24,BORDADO C/ PASSA FITA 5CM - BRANCO,11.0,,,,,,6.0,22.3,10.3,5.0,01,2021,01-2021,4420059271
25,Linha Rayza - Branco Optico,36.0,,,,,,5.0,45.49,17.99,31.0,01,2021,01-2021,9377910087
26,Linha Rayza - Marrom,8.0,,,,,,5.0,47.5,20.0,3.0,01,2021,01-2021,8614660900
27,Linha Rayza - Rosa,10.0,,,,,,5.0,47.5,20.0,5.0,01,2021,01-2021,8610988543
28,LÃ SUPER BEBÊ 100G - 8003 GELO,11.0,,,,,,5.0,78.2,30.2,6.0,01,2021,01-2021,8697716025
29,RESINA DIVINOMINI C/3,5.0,,,,,,5.0,12.8,6.05,0.0,01,2021,01-2021,1806357754
30,RENDA GUIPEARE PEROLADA  8CM,11.25,,,,,,5.0,68.35,31.85,6.25,01,2021,01-2021,9905649230
31,CAMILINHA 40M - 0332 - LARANJA,8.0,,,,,,5.0,15.0,6.5,3.0,01,2021,01-2021,4067424110
32,"AGULHA CROCHÊ ESMALTADA - 2,5M",24.0,,,,,,5.0,30.0,15.0,19.0,01,2021,01-2021,6009831960
33,Linha Rayza - Marrom Claro,20.0,,,,,,4.0,38.0,16.0,16.0,01,2021,01-2021,1568115053
34,Meada Anchor - 9046,16.0,,,,,,4.0,14.0,6.8,12.0,01,2021,01-2021,7027478011
35,lastex preto ,0.0,100.0,,,,,4.0,6.0,3.4,96.0,01,2021,01-2021,8045561914
36,CAMILA FASHION 500  0110,1.0,,,,,,4.0,66.0,21.2,-3.0,01,2021,01-2021,7884794372
37,BOTÃO MADEIRA P,125.0,23.0,,,4.0,,4.0,2.4,1.2,140.0,01,2021,01-2021,1997907798
38,AMIGURUMI PELUCIA -8001,6.0,,,,,,4.0,54.0,18.0,2.0,01,2021,01-2021,3631952112
39,VIÉS 35MM - AMARELO 35,38.0,,,,,,4.0,4.0,2.4,34.0,01,2021,01-2021,7203382956
40,Meada Anchor - 0944,25.0,,,,,,3.0,10.5,4.95,22.0,01,2021,01-2021,5048882465
41,Meada Anchor - 0403,23.0,,,,,,3.0,10.5,4.95,20.0,01,2021,01-2021,9218623993
42,COLA DO ARTESÃO -SILICINE 60ML,17.0,,,,,,3.0,18.0,9.0,14.0,01,2021,01-2021,7314507234
