,Produto,Saldo Inicial,Entradas,Devoluções,Compras,Saídas,Prêmio,Quant. Vendas,Valor Vendas,Lucro Bruto,Estoque Final,Mês,Ano,Mês/Ano,insertion_id
0,FITA CETIM PROGRESSO 5 - 0310 ROSA BEBE,27.0,,,,,,30.0,21.0,6.0,-3.0,11,2020,11-2020,7230995588
1,FITA CETIM PROGRESSO 3 - 0209 VERMELHO,30.0,,,,,,30.0,21.0,9.0,0.0,11,2020,11-2020,2758612438
2,ELASTICO 06MM PRETO CHATO ROLO VENDA POR METRO,81.0,,,,,,25.0,24.87,13.62,56.0,11,2020,11-2020,2970719323
3,ELASTICO 06MM BRANCO CHATO ROLO POR METRO,79.0,,,,,,16.0,15.78,8.58,63.0,11,2020,11-2020,2943095035
4,CX SEXTAVADA TAMPA SAPATO 15X15X6,59.0,,,,,,15.0,82.5,39.0,44.0,11,2020,11-2020,2286321173
5,MASCARAS TRICOLINE,45.0,,,,,,15.0,76.58,16.58,30.0,11,2020,11-2020,2331478852
6,PANO DE COPA NATAL PRESEPIO,0.0,36.0,,,,,14.0,105.0,53.2,22.0,11,2020,11-2020,1867584473
7,ELASTICO CHATO BRANCO 16,21.0,,,,,,13.0,11.98,5.48,8.0,11,2020,11-2020,5555416917
8,TECIDO 1/4,110.0,,,,,,12.0,70.97,34.97,98.0,11,2020,11-2020,5674491364
9,BOTÃO MINI - PRETO,66.0,,,,,,12.0,2.4,0.84,54.0,11,2020,11-2020,5146715847
10,FLORZINHA CETIM P  C/ FOLHA G SORTIDAS,144.0,,,,,,12.0,9.0,4.8,132.0,11,2020,11-2020,8445751270
11,COSTURA DRIMA - Branca,64.0,,,,3.0,,11.0,26.93,13.73,50.0,11,2020,11-2020,8132702532
12,TECIDO SACARIA ,75.0,,,,,,11.0,82.5,31.9,64.0,11,2020,11-2020,746250237
13,Linha Rayza - Preto,27.0,,,,,,10.0,95.0,40.0,17.0,11,2020,11-2020,6853575060
14,LETRA METAL 2CM -M,10.0,,,,,,10.0,20.0,10.0,0.0,11,2020,11-2020,204107776
15,BARBANTE LIMA 6 CRU,0.0,25.0,,,14.0,,10.0,191.88,62.88,1.0,11,2020,11-2020,8213417011
16,CAMILINHA 125M -0046,10.0,,,,,,10.0,47.7,19.7,0.0,11,2020,11-2020,9824771207
17,FITA CETIM PROGRESSO 9 - 0344 ROSE,28.0,,,,,,10.0,15.0,7.0,18.0,11,2020,11-2020,7657930473
18,FITA CETIM PROGRESSO 5 - 0305 VERDINHO,20.0,,,,,,10.0,8.0,3.0,10.0,11,2020,11-2020,5735395530
19,FITA CETIM PROGRESSO 3 - 0311 CHAMPANHE,50.0,,,,,,10.0,8.0,4.0,40.0,11,2020,11-2020,5045303266
20,FITA CETIM PROGRESSO 3 - 0310 ROSA BEBÊ,10.0,,,,,,10.0,7.5,3.5,0.0,11,2020,11-2020,2698021883
21,FITA CETIM PROGRESSO 3 - 0240 ROSA ESCURO ,30.0,,,,,,10.0,8.0,4.0,20.0,11,2020,11-2020,2715289300
22,OLHO P AMIGURUMI -16 PRETO,16.0,,,,,,10.0,10.0,5.0,6.0,11,2020,11-2020,8000718998
23,AGULHA COSTURA DARNING -5,72.0,,,,,,10.0,4.9,2.9,62.0,11,2020,11-2020,583695219
24,FITA CETIM PROGRESSO 9 - 1354 vermelho tomate,20.0,,,,,,10.0,15.0,7.0,10.0,11,2020,11-2020,564799543
25,FITA CETIM PROGRESSO 2 - 1199 azul,10.0,,,,,,10.0,6.0,3.0,0.0,11,2020,11-2020,6613701722
26,FITA VERMELHA C/ BEIRA DOURADA,20.0,,,,,,10.0,22.5,10.0,10.0,11,2020,11-2020,1810165418
27,LETRA METAL 2CM -A ,9.0,,,,,,9.0,13.5,7.2,0.0,11,2020,11-2020,3301414733
28,LÃ MOLLET 100G -4817 BRASA,14.0,,,,,,9.0,90.0,33.3,5.0,11,2020,11-2020,2196206936
29,ARGOLA 75 ,19.0,,,,,,8.0,8.0,4.0,11.0,11,2020,11-2020,6837795815
30,FITA NATAL  35MM DOURADA ARAMADA,7.0,,,,,,8.0,26.4,13.2,-1.0,11,2020,11-2020,7464568588
31,PANO DE COPA - CALENDÁRIO,0.0,12.0,,,,,8.0,53.0,29.8,4.0,11,2020,11-2020,4121317356
32,LÃ MOLLET 40G -2194 TURQUESA,7.0,,,,,,7.0,26.38,8.88,0.0,11,2020,11-2020,6724130712
33,BARBANTE EUROROMA 6 - AZUL PISCINA,7.0,,,,,,7.0,132.78,42.48,0.0,11,2020,11-2020,1252824875
34,FITA MÉTRICA NYBC,7.0,,,,,,7.0,24.12,12.92,0.0,11,2020,11-2020,3008209072
35,PANO DE PRATO BRANCO EMBAINHADO,64.0,,,,,,7.0,32.83,11.83,57.0,11,2020,11-2020,2210170312
36,AGULHA MAQUINA SINGER 18,36.0,,,,,,7.0,14.0,7.0,29.0,11,2020,11-2020,1926705382
37,Meada Anchor - 0316,11.0,,,,,,6.0,20.74,9.94,5.0,11,2020,11-2020,5163079706
38,BARBANTE LIMA 6 AMARELO OURO,0.0,8.0,,,,,6.0,116.08,38.68,2.0,11,2020,11-2020,6475283027
39,MASSA BISCUIT POLYCOL - 90G BRANCA,6.0,,,,,,6.0,23.4,11.4,0.0,11,2020,11-2020,9916607518
40,PLACA REDONDA 10 DIAMETRO,0.0,,,,,,6.0,8.43,8.43,-6.0,11,2020,11-2020,8641102766
41,Linha Rayza - Cinza,10.0,,,,,,5.0,47.5,20.0,5.0,11,2020,11-2020,8807030798
42,COSTURA DRIMA - PT,18.0,60.0,,,,,5.0,12.45,6.45,73.0,11,2020,11-2020,7177238353
43,BASTÃO COLA QUENTE FINO ,41.0,,,,,,5.0,3.75,2.25,36.0,11,2020,11-2020,3158525071
44,BARBANTE LIMA 6 VERMELHO ,0.0,15.0,,,6.0,,5.0,97.5,33.0,4.0,11,2020,11-2020,3930438665
45,TINTA FOSCA P/ARTESANATO - 519 BRANCA,10.0,,,,,,5.0,42.04,13.54,5.0,11,2020,11-2020,7642475708
46,TINTA TECIDO ACRILEX 520 PRETO,11.0,,,,,,5.0,17.5,5.75,6.0,11,2020,11-2020,1683789918
47,LÃ MOLLET 40G -0541 ENSEADA,4.0,,,,,,5.0,19.0,6.5,-1.0,11,2020,11-2020,5334883911
48,ELASTICO CHATO BRANCO 12 METRO,32.0,,,,,,5.0,3.94,1.44,27.0,11,2020,11-2020,7229618351
49,APLIQUE LASER NUVEM 10CM,5.0,,,,,,5.0,11.25,5.75,0.0,11,2020,11-2020,9516164073
50,ELASTICO 29MM BRANCO ,10.0,,,,,,5.0,14.59,7.09,5.0,11,2020,11-2020,718188784
51,AGULHA CROCHÊ C/ CABO PLÁSTICO,11.0,,,,,,5.0,34.73,19.73,6.0,11,2020,11-2020,9215292452
52,Linha Rayza - Branco Optico,44.0,,,,,,4.0,38.0,16.0,40.0,11,2020,11-2020,2586939984
53,Linha Rayza - Amarelo Ouro,11.0,,,,,,4.0,37.77,15.77,7.0,11,2020,11-2020,6000976893
54,guardanapos papel p/decoupage,290.0,,,,,,4.0,10.0,4.0,286.0,11,2020,11-2020,5363978478
55,BARBANTE LIMA 6 LILÁS,5.0,,,,,,4.0,72.67,21.07,1.0,11,2020,11-2020,4275416624
56,BARBANTE LIMA 8 ROSA,0.0,6.0,,,,,4.0,75.22,23.62,2.0,11,2020,11-2020,5168889616
57,LINHA ANNE 250M 3227  ROSA ANTIGO ,4.0,,,,,,4.0,42.0,14.0,0.0,11,2020,11-2020,3624099426
58,TINTA TECIDO ACRILEX 519 BRANCO,23.0,,,,,,4.0,14.0,4.6,19.0,11,2020,11-2020,2904153041
59,LÃ MOLLET 100G -7650 AMENDOA,0.0,,,,,,4.0,40.0,14.8,-4.0,11,2020,11-2020,4862562244
60,TNT VERMELHO,16.0,,,,,,4.0,8.0,3.2,12.0,11,2020,11-2020,2880878690
61, BARROCO MULT 200G -9384 GREENNERY,10.0,,,,,,4.0,70.0,24.0,6.0,11,2020,11-2020,3166923172
62,BARBANTE EUROROMA 6 - PRETO,12.0,,,,,,4.0,75.08,23.48,8.0,11,2020,11-2020,3657477345
63,Alfinete de segurança - 40MM,134.0,,,,,,4.0,1.96,0.96,130.0,11,2020,11-2020,5066589964
64,BARBANTE LIMA 6 BRANCO,0.0,4.0,,,,,4.0,73.99,22.39,0.0,11,2020,11-2020,2275755403
65,FITA NATAL BICO PAPAGAIO 38MM,15.0,,,,,,4.0,12.0,6.0,11.0,11,2020,11-2020,7363895520
66,ELASTICO CHATO BRANCO 18 METRO,1.0,,,,,,4.0,6.0,3.2,-3.0,11,2020,11-2020,1295842257
67,Ziper sintetico fino fixo - 30CM BRANCO,7.0,,,,,,4.0,14.0,7.0,3.0,11,2020,11-2020,2706964819
68,ABRIDOR DE CASA P,6.0,,,,,,4.0,10.0,5.2,2.0,11,2020,11-2020,7809457093
69,TRILHO MESA 35CM X 1M NATAL,0.0,6.0,,,,,4.0,47.3,28.9,2.0,11,2020,11-2020,4517806587
70,Linha Rayza - Esmeralda,8.0,,,,,,3.0,28.27,11.77,5.0,11,2020,11-2020,6306514597
71,COSTURA DRIMA - 6108,4.0,,,,,,3.0,7.5,3.9,1.0,11,2020,11-2020,3953826113
72,CX PASSA FITA 8X8X5,29.0,,,,,,3.0,11.4,7.05,26.0,11,2020,11-2020,8683315581
73,TELA P/PINTURA 40X50,3.0,,,,,,3.0,60.0,24.78,0.0,11,2020,11-2020,6804258268
74,LINHA QUEEN 3201,3.0,,,,,,3.0,54.0,19.5,0.0,11,2020,11-2020,6118838812
75,COLA DO ARTESÃO -SILICINE 60ML,24.0,,,,,,3.0,19.5,10.5,21.0,11,2020,11-2020,9245464191
76,COLA JEANS,8.0,,,,,,3.0,10.5,5.4,5.0,11,2020,11-2020,9285241807
77,BARROCO MAX 4/6 -4456 LARANJA ,4.0,,,,,,3.0,51.56,16.61,1.0,11,2020,11-2020,7062893883
78,BARBANTE LIMA 8 CRU,0.0,24.0,,,,,3.0,57.58,18.88,21.0,11,2020,11-2020,5669474021
79,BARBANTE LIMA 8 LARANJA,0.0,6.0,,,,,3.0,58.5,19.8,3.0,11,2020,11-2020,4792968458
80,LINHA ANNE 500 3581 PIMENTA,11.0,,,,,,3.0,43.15,13.15,8.0,11,2020,11-2020,5110603190
81,TINTA TECIDO ACRILEX 567  ROSA CHÁ ,13.0,,,,,,3.0,10.5,3.45,10.0,11,2020,11-2020,8818579894
82,TINTA TECIDO ACRILEX 541 VERMELHO VIVO,8.0,,,,,,3.0,10.5,3.45,5.0,11,2020,11-2020,9567958559
83,TINTA TECIDO ACRILEX 569 CARAMELO,13.0,,,,,,3.0,10.5,3.45,10.0,11,2020,11-2020,4932821954
