,Produto,Saldo Inicial,Entradas,Devoluções,Compras,Saídas,Prêmio,Quant. Vendas,Valor Vendas,Lucro Bruto,Estoque Final,Mês,Ano,Mês/Ano,insertion_id
0,Linha Rayza - Verde Bandeira,8.0,,,,,,1.0,10.0,3.5,7.0,06,2021,06-2021,3155765534
1,Linha Rayza - Cenoura,3.0,,,,,,1.0,10.0,3.5,2.0,06,2021,06-2021,5136038343
2,Linha Rayza - Preto,84.0,,,,,,7.0,70.0,24.5,77.0,06,2021,06-2021,5230492116
3,Linha Rayza - Bege,23.0,,,,,,1.0,10.0,3.5,22.0,06,2021,06-2021,6184112958
4,Linha Rayza - Vermelho,17.0,,,,,,3.0,30.0,10.5,14.0,06,2021,06-2021,8000388680
5,Linha Rayza - Azul Claro,8.0,,,,,,5.0,50.0,17.5,3.0,06,2021,06-2021,8616089256
6,Linha Rayza - Violeta,2.0,,,,,,1.0,10.0,3.5,1.0,06,2021,06-2021,6805507447
7,Linha Rayza - Pink,15.0,,,,,,2.0,20.0,7.0,13.0,06,2021,06-2021,8130358780
8,Linha Rayza - Amarelo Ouro,-1.0,1.0,,,,,,,,0.0,06,2021,06-2021,8200875372
9,Linha Rayza - Ramy,16.0,,,,2.0,,1.0,10.0,3.5,13.0,06,2021,06-2021,8618458187
10,Linha Rayza - Verde Jade,4.0,,,,,,1.0,10.0,3.5,3.0,06,2021,06-2021,2365499248
11,Linha Rayza - Pistache,15.0,,,,,,1.0,10.0,3.5,14.0,06,2021,06-2021,4666751585
12,Linha Rayza - Cereja,5.0,,,,,,3.0,30.0,10.5,2.0,06,2021,06-2021,347024914
13,Linha Rayza - Abóbora,7.0,,,,,,1.0,10.0,3.5,6.0,06,2021,06-2021,2672192237
14,Linha Rayza - Roxo,8.0,,,,,,1.0,10.0,3.5,7.0,06,2021,06-2021,3194252593
15,Linha Rayza - Telha,20.0,,,,,,5.0,50.0,17.5,15.0,06,2021,06-2021,2092008267
16,Meada Anchor - 0290,25.0,,,,,,1.0,3.9,1.9,24.0,06,2021,06-2021,3843965893
17,Meada Anchor - 0291,-1.0,1.0,,,,,,,,0.0,06,2021,06-2021,9931637050
18,Meada Anchor - 0302,11.0,,,,,,1.0,3.9,1.9,10.0,06,2021,06-2021,3575994001
19,Meada Anchor - 0304,8.0,,,,,,1.0,3.63,1.63,7.0,06,2021,06-2021,3612332379
20,Meada Anchor - 0335,6.0,,,,,,1.0,3.63,1.63,5.0,06,2021,06-2021,1863504316
21,Meada Anchor - 0314,18.0,,,,,,1.0,3.9,1.9,17.0,06,2021,06-2021,5804835478
22,Meada Anchor - 0925,4.0,,,,,,1.0,3.9,1.9,3.0,06,2021,06-2021,3397085575
23,Meada Anchor - 0309,4.0,,,,,,1.0,3.9,1.9,3.0,06,2021,06-2021,3793573598
24,Meada Anchor - 0310,5.0,,,,,,1.0,3.9,1.9,4.0,06,2021,06-2021,2443094560
25,Meada Anchor - 1002,5.0,,,,,,1.0,3.9,1.9,4.0,06,2021,06-2021,6088535223
26,Meada Anchor - 0369,6.0,,,,,,1.0,3.9,1.9,5.0,06,2021,06-2021,924685342
27,Meada Anchor - 0370,4.0,,,,,,1.0,3.9,1.9,3.0,06,2021,06-2021,453250686
28,Novelo Anchor - 00291,7.0,,,,,,1.0,9.5,3.6,6.0,06,2021,06-2021,8674749947
29,Meada Anchor - 0028,8.0,,,,,,1.0,3.9,1.9,7.0,06,2021,06-2021,9974963002
30,Meada Anchor - 0029,9.0,,,,,,2.0,7.8,3.8,7.0,06,2021,06-2021,7408989659
31,Meada Anchor - 0046,15.0,,,,,,2.0,7.2,3.2,13.0,06,2021,06-2021,9277456720
32,Meada Anchor - 9046,6.0,,,,,,1.0,3.63,1.63,5.0,06,2021,06-2021,8366463308
33,Meada Anchor - 0057,4.0,,,,,,1.0,3.9,1.9,3.0,06,2021,06-2021,6093892707
34,Meada Anchor - 0076,2.0,,,,,,1.0,3.9,1.9,1.0,06,2021,06-2021,3768571892
35,Meada Anchor - 0063,8.0,,,,,,1.0,3.9,1.9,7.0,06,2021,06-2021,765631087
36,Meada Anchor - 0894,8.0,,,,,,2.0,7.5,3.5,6.0,06,2021,06-2021,5118755204
37,Meada anchor - 0142,5.0,,,,,,3.0,11.7,5.7,2.0,06,2021,06-2021,4156544500
38,Meada Anchor - 1089,9.0,,,,,,1.0,3.9,1.9,8.0,06,2021,06-2021,1834886101
39,Meada anchor - 1070,12.0,,,,,,2.0,7.5,3.5,10.0,06,2021,06-2021,1270780794
40,Meada Anchor - 0211,12.0,,,,,,1.0,3.9,1.9,11.0,06,2021,06-2021,942617920
41,Meada Anchor - 0227,1.0,,,,,,1.0,3.9,1.9,0.0,06,2021,06-2021,9173589921
42,Meada Anchor - 0228,12.0,,,,,,1.0,3.63,1.63,11.0,06,2021,06-2021,9234266612
43,Meada Anchor - 0923,-6.0,6.0,,,,,1.0,3.63,1.83,-1.0,06,2021,06-2021,9841847234
44,Meada Anchor - 0255,-1.0,1.0,,,,,,,,0.0,06,2021,06-2021,1913322471
45,Meada Anchor - 0924,8.0,,,,,,2.0,7.8,3.8,6.0,06,2021,06-2021,3060032271
46,Meada Anchor - 0400,4.0,,,,,,1.0,3.9,1.9,3.0,06,2021,06-2021,5385401361
47,lastex preto ,93.0,,,,,,15.0,21.97,12.22,78.0,06,2021,06-2021,22917958
48,Drima Pesponto - N,1.0,,,,,,1.0,2.5,1.3,0.0,06,2021,06-2021,6041960682
49,Drima Pesponto - 5704,8.0,,,,,,1.0,2.5,1.3,7.0,06,2021,06-2021,9993743708
50,Drima Pesponto - 5706,9.0,,,,,,2.0,5.0,2.6,7.0,06,2021,06-2021,1469372763
51,Ziper invisivel - 20cm preto,7.0,,,,,,1.0,4.5,1.7,6.0,06,2021,06-2021,7620942822
52,Ziper invisivel - 15cm caqui,2.0,,,,,,2.0,8.0,3.0,0.0,06,2021,06-2021,4150539806
53,ziper sintetico fino fixo - 15cm Preto,39.0,,,,,,1.0,2.0,1.11,38.0,06,2021,06-2021,167980622
54,Ziper sintetico fino fixo - 15cm azul marinho,7.0,,,,,,2.0,4.0,2.22,5.0,06,2021,06-2021,6089288918
55,Alfinete de segurança - 19mm,150.0,,,,,,2.0,0.6,0.3,148.0,06,2021,06-2021,7484758653
