,Produto,Saldo Inicial,Entradas,Devoluções,Compras,Saídas,Prêmio,Quant. Vendas,Valor Vendas,Lucro Bruto,Estoque Final,Mês,Ano,Mês/Ano,insertion_id
0,Linha Rayza - Branco Optico,12.0,,,,,,12.0,120.0,42.0,0.0,05,2021,05-2021,6017939034
1,Linha Rayza - Marrom,18.0,,,,,,1.0,10.0,3.5,17.0,05,2021,05-2021,3589809044
2,Linha Rayza - Preto,93.0,,,,,,9.0,90.0,31.5,84.0,05,2021,05-2021,3910539286
3,Linha Rayza - Bege,25.0,,,,,,2.0,20.0,7.0,23.0,05,2021,05-2021,7045964053
4,Linha Rayza - Creme,13.0,,,,,,1.0,10.0,3.5,12.0,05,2021,05-2021,8093875675
5,Linha Rayza - Lilás,9.0,,,,,,2.0,20.0,7.0,7.0,05,2021,05-2021,590152222
6,Linha Rayza - Vermelho,21.0,,,,,,4.0,40.0,14.0,17.0,05,2021,05-2021,1713622908
7,Linha Rayza - Verde Musgo,8.0,,,,,,2.0,20.0,7.0,6.0,05,2021,05-2021,5976964975
8,Linha Rayza - Azul Claro,9.0,,,,,,1.0,10.0,3.5,8.0,05,2021,05-2021,9413907325
9,Linha Rayza - Vinho,7.0,,,,,,1.0,10.0,3.5,6.0,05,2021,05-2021,2105778958
10,Linha Rayza - Manteiga,19.0,,,,,,2.0,20.0,7.0,17.0,05,2021,05-2021,154594749
11,Linha Rayza - Violeta,3.0,,,,,,1.0,10.0,3.5,2.0,05,2021,05-2021,1079252770
12,Linha Rayza - Amarelo Ouro,1.0,,,,,,2.0,20.0,7.0,-1.0,05,2021,05-2021,5009344029
13,Linha Rayza - Verde Jade,5.0,,,,,,1.0,10.0,3.5,4.0,05,2021,05-2021,9056498207
14,Linha Rayza - Abóbora,8.0,,,,,,1.0,10.0,3.5,7.0,05,2021,05-2021,842624631
15,Linha Rayza - Roxo,9.0,,,,,,1.0,10.0,3.5,8.0,05,2021,05-2021,9034901600
16,Linha Rayza - Canário,6.0,,,,,,2.0,20.0,7.0,4.0,05,2021,05-2021,3420495161
17,Linha Rayza - Ouro Velho,0.0,,,,,,1.0,10.0,3.5,-1.0,05,2021,05-2021,9584846141
18,Meada Anchor - 0293,29.0,,,,,,1.0,3.9,1.9,28.0,05,2021,05-2021,5545973851
19,Meada Anchor - 0298,12.0,,,,,,1.0,3.9,2.05,11.0,05,2021,05-2021,4250817221
20,Meada Anchor - 0291,0.0,,,,,,1.0,3.9,2.05,-1.0,05,2021,05-2021,7806188392
21,Meada Anchor - 0275,23.0,,,,,,3.0,11.7,5.7,20.0,05,2021,05-2021,1177600810
22,Meada Anchor - 0300,5.0,,,,,,5.0,19.5,9.5,0.0,05,2021,05-2021,2562028852
23,Meada Anchor - 0302,0.0,12.0,,,,,1.0,3.9,1.9,11.0,05,2021,05-2021,1045820166
24,Meada Anchor - 0303,5.0,,,,,,1.0,3.9,1.9,4.0,05,2021,05-2021,469762350
25,Meada Anchor - 0304,9.0,,,,,,1.0,3.9,1.9,8.0,05,2021,05-2021,6320953769
26,Meada Anchor - 0326,6.0,,,,,,2.0,7.8,3.8,4.0,05,2021,05-2021,2523575199
27,Meada Anchor - 0329,2.0,,,,,,1.0,3.9,1.9,1.0,05,2021,05-2021,6296394306
28,Meada Anchor - 0332,8.0,,,,,,1.0,3.9,1.9,7.0,05,2021,05-2021,5497112919
29,Meada Anchor - 0335,7.0,,,,,,1.0,3.9,1.9,6.0,05,2021,05-2021,8613256078
30,Meada Anchor - 0925,5.0,,,,,,1.0,3.9,1.9,4.0,05,2021,05-2021,2156847355
31,Meada Anchor - 0305,10.0,,,,,,1.0,3.9,1.9,9.0,05,2021,05-2021,7845497940
32,Meada Anchor - 0306,4.0,,,,,,1.0,3.9,1.9,3.0,05,2021,05-2021,9389648816
33,Meada Anchor - 0308,3.0,,,,,,1.0,3.9,1.9,2.0,05,2021,05-2021,9430040650
34,Meada Anchor - 0890,9.0,,,,,,9.0,35.1,17.1,0.0,05,2021,05-2021,2156366146
35,Meada Anchor - 0362,3.0,,,,,,1.0,3.9,1.9,2.0,05,2021,05-2021,6813505205
36,Meada Anchor - 1046,32.0,,,,,,2.0,7.8,3.8,30.0,05,2021,05-2021,5950137408
37,Meada Anchor - 0368,2.0,,,,,,1.0,3.9,1.9,1.0,05,2021,05-2021,1970256579
38,Meada anchor - 0371,6.0,,,,,,1.0,3.9,1.9,5.0,05,2021,05-2021,1999247999
39,Meada Anchor - 0358,7.0,,,,,,1.0,3.87,1.87,6.0,05,2021,05-2021,4073218646
40,Meada Anchor - 0360,7.0,,,,,,1.0,3.9,1.9,6.0,05,2021,05-2021,5472392561
41,Meada Anchor - 0380,14.0,,,,,,2.0,7.77,3.77,12.0,05,2021,05-2021,8635879798
42,Meada Anchor - 0381,10.0,,,,,,3.0,11.67,5.67,7.0,05,2021,05-2021,4450186821
43,Meada Anchor - 0382,30.0,,,,,,1.0,3.9,1.9,29.0,05,2021,05-2021,5533414958
44,Meada Anchor - 1047,4.0,,,,,,2.0,7.8,3.8,2.0,05,2021,05-2021,9911247207
45,Meada Anchor - 1048,8.0,,,,,,2.0,7.8,3.8,6.0,05,2021,05-2021,9467649489
46,Meada Anchor - 0351,26.0,,,,,,2.0,7.8,3.8,24.0,05,2021,05-2021,6387034928
47,Meada Anchor - 0023,11.0,,,,,,1.0,3.9,1.9,10.0,05,2021,05-2021,8025187553
48,Meada Anchor - 0026,6.0,,,,,,1.0,3.9,1.9,5.0,05,2021,05-2021,9601274596
49,Meada Anchor - 0035,12.0,,,,,,1.0,3.9,1.9,11.0,05,2021,05-2021,4250412572
50,Meada Anchor - 1098,8.0,,,,,,1.0,3.9,1.9,7.0,05,2021,05-2021,6392938099
51,Meada Anchor - 0046,18.0,,,,,,3.0,11.6,5.6,15.0,05,2021,05-2021,1570263800
