,Produto,Saldo Inicial,Entradas,Devoluções,Compras,Saídas,Prêmio,Quant. Vendas,Valor Vendas,Lucro Bruto,Estoque Final,Mês,Ano,Mês/Ano,insertion_id
0,TECIDO FRALDA BRANCO,33.0,3069.0,,,,,152.0,21.0,9.5,2950.0,02,2021,02-2021,2068009333
1,PLÁSTICO ADESIVO - AZULEJO ,1.0,999.0,,,,,78.0,9.3,3.06,922.0,02,2021,02-2021,6802034553
2,ELASTICO CHATO BRANCO 16,100.0,,,,,,45.0,63.53,41.03,55.0,02,2021,02-2021,3677254498
3,ELASTICO 06MM BRANCO CHATO ROLO POR METRO,117.0,,,,,,25.0,25.0,13.75,92.0,02,2021,02-2021,51011910
4,BOLA ISOPOR 15MM ,0.0,200.0,,,,,20.0,3.0,1.6,180.0,02,2021,02-2021,8985293619
5,BARBANTE LIMA 6 CRU,0.0,24.0,,,,,16.0,285.33,78.93,8.0,02,2021,02-2021,709936458
6,ELASTICO CHATO BRANCO 18 METRO,100.0,,,,,,13.0,16.5,7.4,87.0,02,2021,02-2021,3062595890
7,PASSA FITA - BRANCO,26.4,,,,,,13.0,31.35,15.75,13.399999999999999,02,2021,02-2021,2478611313
8,"BORDADO INGLÊS 7,5 CM - BRANCO",16.7,,,,,,13.0,47.65,21.65,3.6999999999999993,02,2021,02-2021,2592560813
9,ARGOLA 26,265.0,,,,,,12.0,4.2,2.76,253.0,02,2021,02-2021,9095087021
10,BOTÃO PÉ  P - AZUL MARINHO,0.0,72.0,,,2.0,,12.0,7.2,3.6,58.0,02,2021,02-2021,2388015843
11,COSTURA DRIMA - Branca,31.0,,,,1.0,,11.0,27.5,14.3,19.0,02,2021,02-2021,6109592571
12,COSTURA DRIMA - PT,57.0,,,,1.0,,10.0,25.0,13.0,46.0,02,2021,02-2021,2079982978
13,BARBANTE LIMA 8 CRU,9.0,24.0,,,,,10.0,192.87,63.87,23.0,02,2021,02-2021,6332435225
14,FITA CETIM PROGRESSO 5 - 0245 lilás,18.0,,,,,,10.0,10.0,5.0,8.0,02,2021,02-2021,9282174091
15,FITA CETIM PROGRESSO 2 - 0356 VIOLETA CLARO,10.0,,,,,,10.0,6.0,3.0,0.0,02,2021,02-2021,2377517902
16,FITA CETIM PROGRESSO 2 - 0245 LILÁS,10.0,,,,,,10.0,6.0,3.0,0.0,02,2021,02-2021,174166180
17,LÃ MOLLET 40G -3635 VERMELHO,73.0,,,,,,10.0,38.0,13.0,63.0,02,2021,02-2021,8528370547
18,TECIDO 1/4,90.0,,,,,,10.0,59.36,29.36,80.0,02,2021,02-2021,2756988633
19,ELÁSTICO ROSA,20.0,,,,,,10.0,10.0,5.0,10.0,02,2021,02-2021,5693290050
20,ELÁSTICO BEJE,20.0,,,,,,10.0,10.0,5.0,10.0,02,2021,02-2021,7739203110
21,Meada Anchor - 0403,20.0,,,,,,9.0,31.17,14.52,11.0,02,2021,02-2021,1125875955
22,MASCARAS TRICOLINE,29.0,,,,,,8.0,50.0,18.0,21.0,02,2021,02-2021,2667283042
23,BOTÃO DE CAMISA COMUM,1790.0,,,,,,8.0,2.4,1.2,1782.0,02,2021,02-2021,2487135908
