,Produto,Saldo Inicial,Entradas,Devoluções,Compras,Saídas,Prêmio,Quant. Vendas,Valor Vendas,Lucro Bruto,Estoque Final,Mês,Ano,Mês/Ano,insertion_id
0,PLÁSTICO ADESIVO - AZULEJO AZUL,1000.0,,,,,,500.0,60.0,20.0,500.0,04,2021,04-2021,393699214
1,PLÁSTICO ADESIVO - BRANCO,1000.0,,,,,,100.0,12.0,4.0,900.0,04,2021,04-2021,8000269334
2,ELASTICO CHATO BRANCO 16,36.0,,,,,,48.0,72.0,48.0,-12.0,04,2021,04-2021,5460997766
3,ELASTICO 06MM BRANCO CHATO ROLO POR METRO,64.0,,,,,,40.0,39.33,21.33,24.0,04,2021,04-2021,516960186
4,TECIDO 1/4,95.0,,,,,,32.0,191.77,95.77,63.0,04,2021,04-2021,4893346024
5,TECIDO SACARIA ,125.0,35.0,,,6.0,,31.0,195.0,46.2,123.0,04,2021,04-2021,9710392550
6,BOTÃO MADEIRA PP,242.0,,,,,,18.0,7.17,3.57,224.0,04,2021,04-2021,4364671303
7,FITA CETIM PROGRESSO 5 - 0310 ROSA BEBE,40.0,,,,,,15.0,13.37,5.87,25.0,04,2021,04-2021,3077296571
8,BOTÃO PEZINHO P,2957.0,,,,,,15.0,5.97,2.97,2942.0,04,2021,04-2021,2524020683
9,BOTÃO DE CAMISA COMUM,1774.0,,,,,,14.0,4.2,2.1,1760.0,04,2021,04-2021,2585199108
10,BASTÃO COLA QUENTE FINO ,15.0,,,,,,12.0,9.0,5.4,3.0,04,2021,04-2021,9175664978
11,CX SEXTAVADA TAMPA SAPATO 15X15X6,38.0,,,,,,10.0,55.0,26.0,28.0,04,2021,04-2021,4776904135
12,FITA CETIM PROGRESSO 5 - 0201 BRANCO,20.0,,,,,,10.0,8.0,3.0,10.0,04,2021,04-2021,4464885323
13,LINHA ANNE 500 7650 AMENDOA,21.0,,,,,,10.0,154.5,44.5,11.0,04,2021,04-2021,9692258423
14,LÃ SEDA - 8435 LENHA,10.0,,,,,,10.0,147.53,27.53,0.0,04,2021,04-2021,5545398510
15,AGULHA MAQUINA SINGER 14 -90/14,56.0,,,,,,10.0,15.0,7.5,46.0,04,2021,04-2021,5010820835
16,Linha Rayza - Branco Optico,21.0,,,,,,9.0,90.0,31.5,12.0,04,2021,04-2021,6554836911
17,PASSA FITA - BRANCO,7.399999999999999,,,,,,9.0,20.66,9.86,-1.6000000000000014,04,2021,04-2021,5188224524
18,BOTÃO TRANSPARENTE P ,198.0,,,,,,9.0,2.89,1.54,189.0,04,2021,04-2021,1824578519
19,LINHA ANNE 500 0020 NATURAL,15.0,,,,,,8.0,121.5,41.5,7.0,04,2021,04-2021,193470416
20,COSTURA DRIMA - PT,36.0,,,,,,7.0,17.5,9.1,29.0,04,2021,04-2021,3403457931
21,BARBANTE LIMA 6 VERMELHO ,19.0,,,,,,7.0,139.5,47.2,12.0,04,2021,04-2021,7946798606
22,LINHA COSTURA SOL - BRANCA,35.0,,,,,,7.0,41.82,17.32,28.0,04,2021,04-2021,6830834261
23,BOTÃO MADEIRA P,124.0,,,,,,7.0,4.0,1.9,117.0,04,2021,04-2021,325326526
24,MISSANGA P - TONS DE AMARELO,43.0,,,,,,7.0,14.0,7.0,36.0,04,2021,04-2021,3071502241
25,Linha Rayza - Vermelho,27.0,,,,,,6.0,60.0,21.0,21.0,04,2021,04-2021,7481788277
26,Meada Anchor - 0001,15.0,,,,,,6.0,23.33,11.33,9.0,04,2021,04-2021,6944138970
27,LINHA CLÉA 1000 -8001 BRANCO,7.0,,,,,,6.0,98.0,35.0,1.0,04,2021,04-2021,9651010656
28,ELASTICO 34MM BRANCO ROLO 25,42.0,,,,,,6.0,20.82,14.82,36.0,04,2021,04-2021,1100579589
29,AGULHA COSTURA DARNING -5,22.0,,,,,,6.0,3.0,1.8,16.0,04,2021,04-2021,6442412134
30,BOTÃO MADEIRA M ,196.0,,,,,,6.0,7.2,3.6,190.0,04,2021,04-2021,8039654959
31,Linha Rayza - Esmeralda,5.0,,,,,,5.0,50.0,17.5,0.0,04,2021,04-2021,5912548100
32,COSTURA DRIMA - CRU,96.0,,,,,,5.0,12.5,6.5,91.0,04,2021,04-2021,7556422819
33,LÃ PREMIUM - 7017 PETROLEO,11.0,,,,,,5.0,79.0,26.5,6.0,04,2021,04-2021,2415797053
34,FITA CETIM PROGRESSO 3 - 0389 VINHO,0.0,,,,,,5.0,3.0,1.5,-5.0,04,2021,04-2021,1270885969
35,LÃ MOLLET 40G -5545 BANDEIRA,20.0,,,,,,5.0,19.85,7.35,15.0,04,2021,04-2021,3679394045
36,LÃ MOLLET 40G -6040 LIRIO,13.0,,,,,,5.0,20.0,7.5,8.0,04,2021,04-2021,4065669903
37,AGULHA BORDADO - 16,104.0,,,,,,5.0,6.17,2.67,99.0,04,2021,04-2021,5571578045
38,linha amigurumi- 7136 MARSALA,5.0,,,,,,5.0,67.5,22.5,0.0,04,2021,04-2021,3387387058
39,BOTÃO CAMISETE - N 20,608.0,,,,,,5.0,2.0,1.0,603.0,04,2021,04-2021,9215530294
