,Produto,Saldo Inicial,Entradas,Devoluções,Compras,Saídas,Prêmio,Quant. Vendas,Valor Vendas,Lucro Bruto,Estoque Final,Mês,Ano,Mês/Ano,insertion_id
0,Linha Rayza - Verde Bandeira,7.0,,,,,,0.0,0.0,,7.0,07,2021,07-2021,3445849614
1,Linha Rayza - Laranja,6.0,,,,,,0.0,0.0,,6.0,07,2021,07-2021,3622619789
2,Linha Rayza - Cinza,5.0,,,,,,0.0,0.0,,5.0,07,2021,07-2021,1900073300
3,Linha Rayza - Cenoura,2.0,,,,,,0.0,0.0,,2.0,07,2021,07-2021,4907204467
4,Linha Rayza - Branco Optico,0.0,,,,,,0.0,0.0,,0.0,07,2021,07-2021,5961828768
5,Linha Rayza - Marrom,17.0,,,,,,0.0,0.0,,17.0,07,2021,07-2021,5394357213
6,Linha Rayza - Preto,77.0,4.0,,,,,17.0,170.0,59.5,64.0,07,2021,07-2021,8591150814
7,Linha Rayza - Bege,22.0,,,,,,0.0,0.0,,22.0,07,2021,07-2021,8839363313
8,Linha Rayza - Creme,12.0,,,,,,0.0,0.0,,12.0,07,2021,07-2021,4919860304
9,Linha Rayza - Rosa,4.0,,,,,,0.0,0.0,,4.0,07,2021,07-2021,7375069791
10,Linha Rayza - Salmão,8.0,,,,,,0.0,0.0,,8.0,07,2021,07-2021,4769661595
11,Linha Rayza - Lilás,7.0,,,,,,0.0,0.0,,7.0,07,2021,07-2021,712294100
12,Linha Rayza - Amarelo BB,6.0,,,,,,1.0,10.0,3.5,5.0,07,2021,07-2021,6553800996
13,Linha Rayza - Vermelho,14.0,,,,,,2.0,20.0,7.0,12.0,07,2021,07-2021,1671454451
14,Linha Rayza - Verde Musgo,6.0,,,,,,6.0,60.0,21.0,0.0,07,2021,07-2021,2268155462
15,Linha Rayza - Azul Claro,3.0,,,,,,3.0,30.0,10.5,0.0,07,2021,07-2021,5165999151
16,Linha Rayza - Vinho,6.0,,,,,,0.0,0.0,,6.0,07,2021,07-2021,3435896583
17,Linha Rayza - Esmeralda,0.0,,,,,,0.0,0.0,,0.0,07,2021,07-2021,5555139326
18,Linha Rayza - Verde Água,8.0,,,,,,0.0,0.0,,8.0,07,2021,07-2021,3615977619
19,Linha Rayza - Rosa BB,17.0,,,,,,2.0,20.0,7.0,15.0,07,2021,07-2021,7200464230
20,Linha Rayza - Manteiga,17.0,,,,,,1.0,10.0,3.5,16.0,07,2021,07-2021,3243990617
21,Linha Rayza - Azul Turquesa,8.0,,,,,,0.0,0.0,,8.0,07,2021,07-2021,4592842314
22,Linha Rayza - Violeta,1.0,4.0,,,,,5.0,50.0,17.5,0.0,07,2021,07-2021,4040324001
23,Linha Rayza - Pink,13.0,,,,,,1.0,10.0,3.5,12.0,07,2021,07-2021,2677276716
24,Linha Rayza - Amarelo Ouro,0.0,,,,,,0.0,0.0,,0.0,07,2021,07-2021,1503594228
25,Linha Rayza - Azul Royal,0.0,,,,,,0.0,0.0,,0.0,07,2021,07-2021,9026546650
26,Linha Rayza - Ramy,13.0,,,,,,1.0,10.0,3.5,12.0,07,2021,07-2021,1715678557
27,Linha Rayza - Verde Jade,3.0,,,,,,0.0,0.0,,3.0,07,2021,07-2021,3328368397
28,Linha Rayza - Framboesa,9.0,,,,,,0.0,0.0,,9.0,07,2021,07-2021,7221176810
29,Linha Rayza - Verde Java,19.0,,,,,,0.0,0.0,,19.0,07,2021,07-2021,9971008238
30,Linha Rayza - Cardeal,9.0,,,,,,0.0,0.0,,9.0,07,2021,07-2021,3500030907
31,Linha Rayza - Azul Bahamas,5.0,,,,,,2.0,20.0,7.0,3.0,07,2021,07-2021,2588182778
32,Linha Rayza - Pistache,14.0,,,,,,0.0,0.0,,14.0,07,2021,07-2021,6167766370
33,Linha Rayza - Cereja,2.0,,,,,,0.0,0.0,,2.0,07,2021,07-2021,8242257311
34,Linha Rayza - Abóbora,6.0,,,,,,0.0,0.0,,6.0,07,2021,07-2021,2941699773
35,Linha Rayza - Vermelho Passion,0.0,,,,,,0.0,0.0,,0.0,07,2021,07-2021,2799019331
36,Linha Rayza - Maravilha,7.0,,,,,,0.0,0.0,,7.0,07,2021,07-2021,1652282968
37,Linha Rayza - Roxo,7.0,,,,,,0.0,0.0,,7.0,07,2021,07-2021,7725711469
38,Linha Rayza - Rosa Boreal,1.0,,,,,,0.0,0.0,,1.0,07,2021,07-2021,5884640249
39,Linha Rayza - Canário,4.0,,,,,,1.0,10.0,3.5,3.0,07,2021,07-2021,4803728243
40,Linha Rayza - Ouro Velho,0.0,,,,,,0.0,0.0,,0.0,07,2021,07-2021,7636091062
41,Linha Rayza - Verde Limão,13.0,,,,,,0.0,0.0,,13.0,07,2021,07-2021,7874092185
42,Linha Rayza - Telha,15.0,,,,,,0.0,0.0,,15.0,07,2021,07-2021,3833406604
43,Linha Rayza - Verde Cítrico,16.0,,,,,,0.0,0.0,,16.0,07,2021,07-2021,7781215185
44,Linha Rayza - Cobalto,11.0,,,,,,0.0,0.0,,11.0,07,2021,07-2021,5465184751
45,Linha Rayza - Marrom Claro,14.0,,,,,,0.0,0.0,,14.0,07,2021,07-2021,721010432
46,Linha Rayza - z Mega Hair,6.0,,,,,,0.0,0.0,,6.0,07,2021,07-2021,7837109808
47,Linha Rayza - Verde Malvan,3.0,,,,,,0.0,0.0,,3.0,07,2021,07-2021,7317994252
48,Meada Anchor - 0298,11.0,,,,,,3.0,11.7,6.15,8.0,07,2021,07-2021,7445249340
49,Meada Anchor - 0291,0.0,24.0,,,,,0.0,0.0,,24.0,07,2021,07-2021,6386780934
50,Meada Anchor - 0316,2.0,,,,,,2.0,7.8,3.8,0.0,07,2021,07-2021,3297243388
51,Meada Anchor - 0305,9.0,,,,,,1.0,3.9,1.9,8.0,07,2021,07-2021,5094990488
52,Meada Anchor - 0373,0.0,12.0,,,,,0.0,0.0,,12.0,07,2021,07-2021,3944814945
53,Meada Anchor - 0358,6.0,,,,,,1.0,3.9,1.9,5.0,07,2021,07-2021,9027970559
54,Meada Anchor - 0355,13.0,,,,,,1.0,3.89,1.89,12.0,07,2021,07-2021,9602032104
55,Meada Anchor - 0357,2.0,,,,,,1.0,3.89,1.89,1.0,07,2021,07-2021,6559334060
56,Meada Anchor - 0009,10.0,,,,,,1.0,3.89,1.89,9.0,07,2021,07-2021,521140513
57,Meada Anchor - 0013,0.0,12.0,,,,,0.0,0.0,,12.0,07,2021,07-2021,555059986
58,Meada Anchor - 0029,7.0,,,,,,2.0,7.8,3.8,5.0,07,2021,07-2021,5680987353
59,Meada Anchor - 0031,0.0,12.0,,,,,0.0,0.0,,12.0,07,2021,07-2021,3350895967
60,Meada Anchor - 0046,13.0,,,,,,2.0,7.8,3.8,11.0,07,2021,07-2021,8056620788
61,Meada Anchor - 0047,0.0,12.0,,,,,0.0,0.0,,12.0,07,2021,07-2021,5452453267
62,Meada Anchor - 0044,2.0,,,,,,1.0,3.89,1.89,1.0,07,2021,07-2021,2079609759
63,Meada Anchor - 0038,0.0,12.0,,,,,0.0,0.0,,12.0,07,2021,07-2021,8683968325
64,Meada Anchor - 0897,0.0,12.0,,,,,,,,12.0,07,2021,07-2021,5646572501
65,Meada Anchor - 0120,19.0,,,,,,1.0,3.9,1.9,18.0,07,2021,07-2021,7696880081
66,Meada Anchor - 0940,5.0,,,,,,2.0,7.8,3.8,3.0,07,2021,07-2021,8811497195
67,Meada Anchor - 0149,5.0,,,,,,1.0,3.89,1.89,4.0,07,2021,07-2021,8366582859
68,Meada Anchor - 0150,12.0,,,,,,1.0,3.89,1.89,11.0,07,2021,07-2021,3581324310
69,Meada anchor - 0928,4.0,,,,,,1.0,3.9,1.9,3.0,07,2021,07-2021,8801339051
70,Meada Anchor - 0433,0.0,24.0,,,,,0.0,0.0,,24.0,07,2021,07-2021,8354136548
71,Meada Anchor - 1089,8.0,,,,,,1.0,3.9,1.9,7.0,07,2021,07-2021,2768104305
72,Meada anchor - 0410,0.0,24.0,,,,,0.0,0.0,,24.0,07,2021,07-2021,3683307318
73,Meada Anchor - 1044,6.0,,,,,,1.0,3.9,1.9,5.0,07,2021,07-2021,980812758
74,Meada Anchor - 0227,0.0,12.0,,,,,,,,12.0,07,2021,07-2021,7032000372
75,Meada Anchor - 0228,11.0,,,,,,2.0,7.8,3.8,9.0,07,2021,07-2021,1376112007
76,Meada Anchor - 0229,0.0,24.0,,,,,,,,24.0,07,2021,07-2021,9001903742
77,Meada Anchor - 0923,-1.0,1.0,,,,,,,,0.0,07,2021,07-2021,8993901635
78,Meada Anchor - 0255,0.0,24.0,,,,,0.0,0.0,,24.0,07,2021,07-2021,1948729536
79,Meada Anchor - 0885,0.0,12.0,,,,,0.0,0.0,,12.0,07,2021,07-2021,6244472735
80,Meada Anchor - 0832,0.0,12.0,,,,,0.0,0.0,,12.0,07,2021,07-2021,3435644079
81,Meada Anchor - 0387,6.0,,,,,,2.0,7.8,3.8,4.0,07,2021,07-2021,9137578548
