,Produto,Saldo Inicial,Entradas,Devoluções,Compras,Saídas,Prêmio,Quant. Vendas,Valor Vendas,Lucro Bruto,Estoque Final,Mês,Ano,Mês/Ano,insertion_id
76,TINTA TECIDO ACRILEX 541 VERMELHO VIVO,12.0,,,,,,4.0,14.0,4.75,8.0,10,2020,10-2020,5693741406
77,TINTA TECIDO GATO PRETO -473 OCRE OURO,5.0,,,,,,4.0,13.82,6.62,1.0,10,2020,10-2020,8740267059
78,LINHA CAMILA 1000 - 0385,4.0,,,,,,4.0,66.0,21.2,0.0,10,2020,10-2020,1812469399
79,TINTA FOSCA P/ARTESANATO - 519 BRANCA,9.0,6.0,,,1.0,,4.0,34.0,11.8,10.0,10,2020,10-2020,6943890613
80,TINTA FOSCA P/ARTESANATO -520 PRETO,7.0,6.0,,,,,4.0,34.0,11.8,9.0,10,2020,10-2020,4064241240
81,LÃ MOLLET 40G -9339 VIBRANTE,11.0,,,,,,4.0,14.28,4.28,7.0,10,2020,10-2020,3119437978
82,BARBANTE EUROROMA 8 -CRU,4.0,,,,,,4.0,66.0,30.0,0.0,10,2020,10-2020,3477608198
83,VERNIZ GERAL - 100ML ,6.0,,,,,,4.0,40.36,15.56,2.0,10,2020,10-2020,9641868645
84,PRIMER 7 EM 1 - 100ML,7.0,,,,,,4.0,35.6,14.8,3.0,10,2020,10-2020,3100504809
85,ELASTICO 34MM BRANCO ROLO 25,4.0,,,,,,4.0,14.0,7.0,0.0,10,2020,10-2020,7274211547
86,ARGOLA 75 ,23.0,,,,,,4.0,4.0,2.0,19.0,10,2020,10-2020,8180523547
87,BARBANTE APOLO 4 -8473 CINZA,11.0,3.0,,,,,4.0,66.0,28.0,10.0,10,2020,10-2020,1667616603
88,BARBANTE SPESSO - 24 FIOS CRU,6.0,,,,,,4.0,95.0,33.0,2.0,10,2020,10-2020,4141357157
89,BARBANTE EUROROMA 6 - CAQUI,12.0,6.0,,,6.0,,4.0,65.85,33.85,8.0,10,2020,10-2020,9720284526
90,BARBANTE EUROROMA 6 - CAQUI ESCURO,8.0,,,,2.0,,4.0,66.0,30.0,2.0,10,2020,10-2020,2042062116
91,APLIQUE LASER CANTONEIIRA FLOR 10,6.0,,,,,,4.0,10.8,5.4,2.0,10,2020,10-2020,2985174121
92,CX TAMPA SAPATO 22X12X5,7.0,,,,,,4.0,23.43,13.23,3.0,10,2020,10-2020,1993577739
93,FITA MÉTRICA NYBC,11.0,,,,,,4.0,14.0,7.6,7.0,10,2020,10-2020,454304077
94,BOTÃO CAMISETE 22,100.0,,,,,,4.0,1.54,0.74,96.0,10,2020,10-2020,4521676541
95,BOTÃO BLUSA - 36,194.0,,,,,,4.0,2.0,1.0,190.0,10,2020,10-2020,1901444305
96,Linha Rayza - Marrom,0.0,15.0,,,,,3.0,25.5,9.0,12.0,10,2020,10-2020,5144908031
97,Linha Rayza - Creme,3.0,,,,,,3.0,25.5,9.0,0.0,10,2020,10-2020,9323535305
98,Linha Rayza - Rosa,8.0,5.0,,,,,3.0,25.5,9.0,10.0,10,2020,10-2020,1390303510
99,Linha Rayza - Ramy,7.0,,,,,,3.0,25.5,9.0,4.0,10,2020,10-2020,2239007515
100,Novelo Anchor - 00255,6.0,,,,,,3.0,26.33,8.63,3.0,10,2020,10-2020,7610392758
101,Novelo Anchor - 00307,10.0,,,,,,3.0,26.33,8.63,7.0,10,2020,10-2020,2633565331
102,Meada Anchor - 0046,32.0,3.0,,,,,3.0,10.5,5.25,32.0,10,2020,10-2020,9455216939
103,Meada Anchor - 0255,3.0,1.0,,,1.0,,3.0,10.5,5.25,0.0,10,2020,10-2020,4674506473
104,TELA P/PINTURA 20X30,6.0,,,,,,3.0,26.7,13.2,3.0,10,2020,10-2020,7332360628
105,LINHA MERCER CROCHET - BRANCO ,3.0,,,,,,3.0,34.5,10.8,0.0,10,2020,10-2020,4252454028
106,CX TAMPA SAPATO - 4X4X5,7.0,,,,,,3.0,6.0,3.03,4.0,10,2020,10-2020,7748054109
107,LETRA METAL 2CM -B,19.0,,,,,,3.0,4.5,2.4,16.0,10,2020,10-2020,1462697278
108,LETRA METAL 2CM -M,13.0,,,,,,3.0,4.9,1.9,10.0,10,2020,10-2020,6570673178
109,FIO DE MALHA -3011  AZUL escuro,13.0,7.0,,,,,3.0,62.0,26.0,17.0,10,2020,10-2020,3941119860
110,BIG CONE euro 8 -0270 CINZA ,6.0,,,,,,3.0,129.0,57.0,3.0,10,2020,10-2020,3324235597
111,BIG CONE euro 8 -0300 CAQUI ,3.0,,,,,,3.0,129.0,57.0,0.0,10,2020,10-2020,7612420337
112,LINHA COSTURA SOL - PRETA,43.0,,,,,,3.0,18.0,7.5,40.0,10,2020,10-2020,889752095
113,TINTA TECIDO ACRILEX 525 CAMURÇA,10.0,,,,,,3.0,10.36,3.79,7.0,10,2020,10-2020,6774960101
114,LÃ PREMIUM - 8003 CREME,3.0,,,,,,3.0,40.5,12.0,0.0,10,2020,10-2020,4707658193
115,LÃ SUPER BEBÊ 100G - 4004 ROSA,12.0,,,,,,3.0,47.4,18.6,9.0,10,2020,10-2020,1820818068
116,TINTA TECIDO GATO PRETO -437 ROSA,3.0,,,,,,3.0,10.5,5.1,0.0,10,2020,10-2020,6725961816
117,FITA CETIM PROGRESSO 5 - 0310 ROSA BEBE,30.0,,,,,,3.0,3.0,1.5,27.0,10,2020,10-2020,5582040456
118,FITA CETIM PROGRESSO 5 - 0391 MARROM,20.0,,,,,,3.0,3.0,1.5,17.0,10,2020,10-2020,978208626
119,TINTA TECIDO ACRILEX 546 VERDE PINHEIRO,11.0,,,,,,3.0,10.5,3.6,8.0,10,2020,10-2020,6094580609
120,LÃ MOLLET 40G -0850 CASTANHO,3.0,,,,,,3.0,11.4,3.9,0.0,10,2020,10-2020,6640303726
121,LINHA ANNE 500 8990 PRETO,3.0,,,,,,3.0,43.5,13.5,0.0,10,2020,10-2020,2484085473
122,BARBANTE LIMA 6 CINZA,6.0,,,,,,3.0,49.5,15.0,3.0,10,2020,10-2020,9277832518
123,LÃ MOLLET 40G -0550 VERDE CANDY,10.0,,,,,,3.0,10.48,2.98,7.0,10,2020,10-2020,8001619656
124,Novelo Anchor - 00013,10.0,,,,,,3.0,26.31,8.61,7.0,10,2020,10-2020,8865586487
125,LÃ MOLLET 100G -8176 OFF-WHITE,6.0,,,,,,3.0,29.21,9.71,3.0,10,2020,10-2020,8139093455
126,AGULHA BORDADO - 14,34.0,,,,1.0,,3.0,4.16,2.06,30.0,10,2020,10-2020,7549780395
127,BARBANTE EUROROMA 6 - PRETO,2.0,13.0,,,,,3.0,49.5,22.5,12.0,10,2020,10-2020,5019214929
128,BARBANTE EUROROMA 6 - CINZA,12.0,,,,,,3.0,49.5,25.5,9.0,10,2020,10-2020,324348308
129,BARBANTE EUROROMA 6 - AZUL PISCINA,10.0,,,,,,3.0,51.16,16.36,7.0,10,2020,10-2020,3004403228
130,TINTA TECIDO ACRILEX 501 AZUL TURQUESA ,7.0,,,,,,3.0,10.5,3.6,4.0,10,2020,10-2020,6434975056
131,BARBANTE APOLO 4 -VERDE BANDEIRA,11.0,,,,,,3.0,49.5,19.5,8.0,10,2020,10-2020,3183371448
132,PINCEL TIGRE 815 - 14,10.0,,,,,,3.0,18.0,10.5,7.0,10,2020,10-2020,8721233435
133,TINTA TECIDO ACRILEX 582 VERDE GRAMA,12.0,1.0,,,,,3.0,10.5,3.6,10.0,10,2020,10-2020,3689249633
134,BARBANTE EUROROMA 6 - VERDE ÁGUA CLARO,6.0,,,,,,3.0,50.5,19.6,3.0,10,2020,10-2020,5327682175
135,FIO DE MALHA - VERDE CLARO,6.0,1.0,,,3.0,,3.0,62.0,26.0,1.0,10,2020,10-2020,3863797673
136,APLIQUE LASER XICARA 6X7,4.0,,,,,,3.0,6.0,3.0,1.0,10,2020,10-2020,4822065777
137,TERMOCOLANTE,10.0,,,,,,3.0,30.0,15.0,7.0,10,2020,10-2020,4349839190
138,BOTÃO DE CAMISA COMUM,1912.0,,,,6.0,,3.0,0.9,0.45,1903.0,10,2020,10-2020,9470654625
139,MEIA SEDA,15.0,,,,,,3.0,7.5,2.1,12.0,10,2020,10-2020,3530936443
140,BICO DE PATO 2MM,45.0,,,,,,3.0,0.9,0.45,42.0,10,2020,10-2020,8144879143
141,FECHO DOURADO,2.0,1.0,,,,,3.0,18.0,9.0,0.0,10,2020,10-2020,9629506666
142,MANTA STRASS OURO,205.0,,,,,,3.0,4.5,2.25,202.0,10,2020,10-2020,7579798924
143,PUXADOR GAVETO  FERRO ENVELHECIDO ,0.0,10.0,,,,,3.0,24.0,12.0,7.0,10,2020,10-2020,1917692865
144,Linha Rayza - Amarelo BB,10.0,,,,,,2.0,17.0,6.0,8.0,10,2020,10-2020,6914229177
145,Linha Rayza - Esmeralda,10.0,,,,,,2.0,17.0,6.0,8.0,10,2020,10-2020,9470349452
146,Linha Rayza - Azul Bahamas,8.0,,,,,,2.0,17.0,6.0,6.0,10,2020,10-2020,3997645127
147,Linha Rayza - Abóbora,11.0,,,,,,2.0,17.0,6.0,9.0,10,2020,10-2020,6372453996
148,Meada Anchor - 0297,7.0,,,,,,2.0,7.0,3.5,5.0,10,2020,10-2020,4771067236
149,Meada Anchor - 0309,10.0,,,,3.0,,2.0,7.0,3.5,5.0,10,2020,10-2020,8073735101
150,Meada Anchor - 0358,9.0,,,,,,2.0,7.0,3.5,7.0,10,2020,10-2020,8537295684
151,Novelo Anchor - 00291,10.0,,,,,,2.0,17.6,5.8,8.0,10,2020,10-2020,3171598969
152,Novelo Anchor - 00304,10.0,,,,,,2.0,17.55,5.75,8.0,10,2020,10-2020,4514606850
153,Meada Anchor - 0380,12.0,8.0,,,,,2.0,7.0,3.5,18.0,10,2020,10-2020,8591867260
154,Meada Anchor - 0139,9.0,,,,,,2.0,7.0,3.5,7.0,10,2020,10-2020,9411827395
155,Meada Anchor - 0923,5.0,1.0,,,3.0,,2.0,7.0,3.5,1.0,10,2020,10-2020,6920795562
156,COSTURA DRIMA - 0200,2.0,,,,,,2.0,4.0,1.78,0.0,10,2020,10-2020,8804442666
157,linha amigurumi- 8176 OFF-WHITE,5.0,,,,,,2.0,25.8,8.8,3.0,10,2020,10-2020,2380439455
158,linha amigurumi- 1289,3.0,,,,,,2.0,25.51,8.51,1.0,10,2020,10-2020,5267271995
159,linha amigurumi- 8001 BRANCO,3.0,,,,,,2.0,23.8,6.8,1.0,10,2020,10-2020,4614926371
160,LINHA DUNA- 7738,7.0,,,,,,2.0,25.0,10.0,5.0,10,2020,10-2020,945548548
161,LINHA DUNA- 8001,2.0,,,,,,2.0,25.0,9.2,0.0,10,2020,10-2020,2507811840
162,COSTURA DRIMA - 0270,10.0,,,,,,2.0,4.0,1.78,8.0,10,2020,10-2020,6067528218
163,COSTURA DRIMA - 0272,4.0,,,,,,2.0,4.0,1.78,2.0,10,2020,10-2020,4719852981
164,RECORTE LETRA 12CM- A,6.0,,,,,,2.0,7.6,5.2,4.0,10,2020,10-2020,2729852084
165,RECORTE LETRA 12CM- I,4.0,,,,,,2.0,7.6,4.6,2.0,10,2020,10-2020,4245458143
166,RECORTE LETRA 12CM- O,8.0,,,,,,2.0,7.6,5.2,6.0,10,2020,10-2020,4445021077
167,RECORTE LETRA 12CM- S,2.0,,,,,,2.0,7.6,5.2,0.0,10,2020,10-2020,4371878729
168,FIO OVERLOCK SOL - PRETO,2.0,,,,,,2.0,12.0,5.0,0.0,10,2020,10-2020,9562531811
169,AGULHA CROCHÊ CABO EMBORRACHADO ,29.0,,,,,,2.0,40.0,3.6,27.0,10,2020,10-2020,8674226489
170,LETRA METAL 2CM -F,23.0,,,,,,2.0,3.0,1.0,21.0,10,2020,10-2020,4759023998
171,BASTÃO COLA QUENTE FINO ,43.0,,,,,,2.0,1.5,0.9,41.0,10,2020,10-2020,4783805647
172,COLA TEK BOND 2 20G,21.0,,,,,,2.0,21.6,7.66,19.0,10,2020,10-2020,2983959902
173,COLA JEANS,10.0,,,,,,2.0,7.0,3.6,8.0,10,2020,10-2020,1109363131
174,TERMOLINA LEITOSA ACRILEX,0.0,2.0,,,,,2.0,15.0,6.4,0.0,10,2020,10-2020,734434205
175,FIO DE MALHA -ECOMALHA -3008  VERMELHO,13.0,,,,1.0,,2.0,42.0,15.5,10.0,10,2020,10-2020,9941822566
176,BIG CONE euro 8 -0500 ROSA ,2.0,,,,,,2.0,80.0,32.0,0.0,10,2020,10-2020,4525869923
177,BIG CONE euro 8 -0510 ROSA BEBÊ ,3.0,,,,1.0,,2.0,85.74,37.74,0.0,10,2020,10-2020,9418268716
178,COSTURA DRIMA - 0516,2.0,,,,,,2.0,4.0,1.78,0.0,10,2020,10-2020,2861182846
179,BARBANTE LIMA 6 MELANCIA,2.0,,,,,,2.0,33.0,10.0,0.0,10,2020,10-2020,9515160481
180,BARBANTE LIMA 6 ROSA,1.0,,,,,,2.0,32.66,9.66,-1.0,10,2020,10-2020,228679031
181,BARBANTE LIMA 6 PRETO,2.0,,,,,,2.0,32.9,9.9,0.0,10,2020,10-2020,8836783044
182,BARBANTE LIMA 6 SALMÃO,2.0,,,,,,2.0,33.0,10.0,0.0,10,2020,10-2020,4107971125
183,BARBANTE LIMA 8 ROXO,4.0,,,,,,2.0,33.66,9.26,2.0,10,2020,10-2020,4300234213
184,BARBANTE LIMA 8 LILÁS,5.0,,,,,,2.0,32.66,9.66,3.0,10,2020,10-2020,5431060053
185,LINHA ANNE 500 6313 AMORA,7.0,,,,,,2.0,29.0,9.0,5.0,10,2020,10-2020,4116909879
186,CAMILA FASHION 500  BRANCO,9.0,,,,5.0,,2.0,33.0,10.6,2.0,10,2020,10-2020,6544059898
187,LÃ MAJESTOSO PRETA,2.0,,,,,,2.0,40.0,18.0,0.0,10,2020,10-2020,8900468593
188,TINTA TECIDO ACRILEX 585 CAPUCCINO,16.0,,,,,,2.0,7.0,2.4,14.0,10,2020,10-2020,7664385122
189,TINTA TECIDO ACRILEX 567  ROSA CHÁ ,13.0,2.0,,,,,2.0,7.0,2.3,13.0,10,2020,10-2020,4195204960
190,TINTA TECIDO ACRILEX 505 AMARELO OURO,9.0,,,,,,2.0,7.0,2.4,7.0,10,2020,10-2020,9397065317
191,TINTA TECIDO ACRILEX 531 MARROM,6.0,,,,,,2.0,7.0,2.6,4.0,10,2020,10-2020,4201416232
192,LÃ BALLY  160,4.0,,,,,,2.0,35.0,11.0,2.0,10,2020,10-2020,5175486370
193,LÃ ACALANTO - 4469,3.0,,,,,,2.0,35.0,13.0,1.0,10,2020,10-2020,5678824237
194,LÃ ONDA - PRETA ,5.0,,,,,,2.0,25.0,11.0,3.0,10,2020,10-2020,3555659137
195,TECIDO TALAGARÇA GROSSA ,10.0,,,,,,2.0,70.0,28.0,8.0,10,2020,10-2020,9679732335
196, BARROCO MULT 200G -9384 GREENNERY,12.0,,,,,,2.0,34.48,11.48,10.0,10,2020,10-2020,8508297098
197,BARROCO MULT 200G -9165 HIBISCO AMARELO,5.0,,,,,,2.0,34.54,11.14,3.0,10,2020,10-2020,4676791815
198,LINHA CLÉA 1000 -7625 CASTANHA,3.0,,,,,,2.0,29.0,9.0,1.0,10,2020,10-2020,4466125935
199,LINHA CLÉA 1000 -3794 BORDÔ,3.0,,,,,,2.0,29.0,9.0,1.0,10,2020,10-2020,9082824460
200,LINHA CLÉA 1000 - 0020 ATURAL ,11.0,,,,,,2.0,29.0,9.0,9.0,10,2020,10-2020,7718727153
201,LINHA CLÉA 1000 -7529 TERRACOTA,3.0,,,,,,2.0,29.0,9.0,1.0,10,2020,10-2020,6203877295
202,LINHA CLÉA 5 -3635 PAIXÃO,3.0,,,,,,2.0,27.0,7.6,1.0,10,2020,10-2020,8945649395
203,Linha Rayza - VERDE CABARÉ,3.0,,,,,,2.0,17.0,6.0,1.0,10,2020,10-2020,3483951746
204,CAMILINHA 125M - 0229 - VERDE BANDEIRA,8.0,10.0,,,,,2.0,9.0,3.4,16.0,10,2020,10-2020,3036527664
205,MASSA BISCUIT acrilex 90G - VERDE MUSGO,4.0,,,,,,2.0,9.0,4.5,2.0,10,2020,10-2020,3730845529
206,PINCEL TIGRE 815 - 12,5.0,,,,,,2.0,11.0,5.0,3.0,10,2020,10-2020,2192901348
207,PINCEL TIGRE 815 - 20,5.0,,,,,,2.0,24.0,10.0,3.0,10,2020,10-2020,937975749
208,PINCEL CONDOR 284-6,5.0,,,,,,2.0,17.0,8.0,3.0,10,2020,10-2020,3592807294
209,Meada Anchor - 0001,21.0,,,,1.0,,2.0,7.0,3.5,18.0,10,2020,10-2020,1557037106
210,LÃ MOLLET 40G -9440 QUARTZO VERDE,4.0,,,,,,2.0,7.14,2.14,2.0,10,2020,10-2020,1389258540
211,LÃ MOLLET 40G -9603,0.0,15.0,,,,,2.0,7.14,2.14,13.0,10,2020,10-2020,2995390842
212,LÃ MOLLET 40G -2194 TURQUESA,9.0,,,,,,2.0,7.14,2.14,7.0,10,2020,10-2020,629790725
213,LÃ MOLLET 40G -0409 AMETISTA,19.0,,,,,,2.0,6.68,1.68,17.0,10,2020,10-2020,2724104030
214,LÃ MOLLET 40G -0325 AMARELO CANDY,13.0,,,,,,2.0,7.14,2.14,11.0,10,2020,10-2020,6911298288
215,LÃ MOLLET 40G -0940 PRETO,7.0,,,,,,2.0,7.6,2.6,5.0,10,2020,10-2020,2322791074
216,LÃ MOLLET 40G -6040 LIRIO,15.0,,,,,,2.0,7.6,2.6,13.0,10,2020,10-2020,1154208704
217,TINTA FOSCA P/ARTESANATO -821 VERDE ÁGUA,3.0,1.0,,,,,2.0,17.0,6.1,2.0,10,2020,10-2020,3669680325
218,AGULHA TRICÔ PLÁSTICO 8 CORRENTE,9.0,,,,,,2.0,16.0,4.0,7.0,10,2020,10-2020,3582862707
219,TINTA ÓLEO GATO PRETO 25 ML - BRANCO ,6.0,,,,,,2.0,14.53,7.53,4.0,10,2020,10-2020,9874867580
220,TINTA ÓLEO GATO PRETO 25 ML - VERDE INGLES CLARO,5.0,,,,,,2.0,14.53,7.53,3.0,10,2020,10-2020,7840255612
221,TINTA ÓLEO GATO PRETO 25 ML - AZUL COBALTO ESCURO,4.0,,,,,,2.0,14.53,7.53,2.0,10,2020,10-2020,4641534942
