,Produto,Saldo Inicial,Entradas,Devoluções,Compras,Saídas,Prêmio,Quant. Vendas,Valor Vendas,Lucro Bruto,Estoque Final,Mês,Ano,Mês/Ano,insertion_id
0,lastex preto ,31.0,,,,,,27.0,40.32,22.77,4.0,10,2020,10-2020,4114126973
1,BOTÃO BLUSA 32,1000.0,,,,,,27.0,27.0,27.0,973.0,10,2020,10-2020,9815980589
2,Linha Rayza - Preto,2.0,48.0,,,,,23.0,190.48,63.98,27.0,10,2020,10-2020,1052264795
3,MASCARAS TRICOLINE,66.0,,,,,,21.0,133.5,49.5,45.0,10,2020,10-2020,4023759018
4,FITA CETIM PROGRESSO 3 - 0310 ROSA BEBÊ,30.0,,,,,,20.0,16.0,8.0,10.0,10,2020,10-2020,3106297258
5,ELASTICO CHATO BRANCO 20,50.0,,,,,,20.0,27.0,12.0,30.0,10,2020,10-2020,5314298817
6,"colchete pressão - 009  9,8mm",207.0,,,,,,18.0,9.8,5.48,189.0,10,2020,10-2020,5502882364
7,COSTURA DRIMA - Branca,86.0,,,,6.0,,16.0,32.0,14.24,64.0,10,2020,10-2020,4515012612
8,ELASTICO CHATO BRANCO 16,36.0,,,,,,15.0,15.0,7.5,21.0,10,2020,10-2020,2135801831
9,ELASTICO 06MM PRETO CHATO ROLO VENDA POR METRO,96.0,,,,,,15.0,14.0,7.25,81.0,10,2020,10-2020,6705657350
10,AGULHA COSTURA DARNING -5,87.0,,,,,,15.0,7.34,4.34,72.0,10,2020,10-2020,3289605858
11,COSTURA DRIMA - PT,32.0,,,,,,14.0,28.0,12.46,18.0,10,2020,10-2020,9451748841
12,TECIDO SACARIA ,123.0,,,,,,14.0,105.0,40.6,109.0,10,2020,10-2020,3382770704
13,TOALHA LAVABO CAPRI -,18.0,,,,,,14.0,40.4,16.6,4.0,10,2020,10-2020,4709825272
14,AGULHA CROCHÊ C/ CABO PLÁSTICO,2.0,22.0,,,,,13.0,90.7,51.7,11.0,10,2020,10-2020,3421813021
15,Linha Rayza - Branco Optico,13.0,43.0,,,,,12.0,102.0,36.0,44.0,10,2020,10-2020,660513889
16,Meada Anchor - 0403,39.0,8.0,,,9.0,,12.0,42.0,21.0,26.0,10,2020,10-2020,7778784803
17,Colchete de Gancho 3 ,198.0,,,,,,12.0,2.8,1.6,186.0,10,2020,10-2020,2097608703
18,BARROCO DECORE LUXO -7896,6.0,6.0,,,,,12.0,194.0,39.2,0.0,10,2020,10-2020,1524802153
19,BARROCO DECORE LUXO -0119,6.0,6.0,,,,,12.0,190.0,40.0,0.0,10,2020,10-2020,9019992273
20,TECIDO 1/4,122.0,,,,,,12.0,72.0,36.0,110.0,10,2020,10-2020,7306374097
21,Linha Rayza - Vinho,5.0,13.0,,,,,11.0,92.54,32.04,7.0,10,2020,10-2020,7711496331
22,BARBANTE TRENTO - MARROM 1100,11.0,,,,,,11.0,140.8,47.3,0.0,10,2020,10-2020,2708020028
23,BARBANTE TRENTO - CRU 100,12.0,,,,,,11.0,159.5,66.0,1.0,10,2020,10-2020,9288096620
24,Linha Rayza - Vermelho,9.0,20.0,,,,,10.0,85.0,30.0,19.0,10,2020,10-2020,1558583724
25,Alfinete de segurança - 19mm,193.0,,,,,,10.0,3.0,1.5,183.0,10,2020,10-2020,1989073817
26,BASTÃO COLA QUENTE GROSSO ,24.0,,,,,,10.0,15.0,8.0,14.0,10,2020,10-2020,3991447041
27,Alfinete de segurança - 40MM,144.0,,,,,,10.0,5.0,2.5,134.0,10,2020,10-2020,5347445941
28,BARBANTE APOLO 4 -VERMELHO,10.0,,,,,,10.0,165.0,70.0,0.0,10,2020,10-2020,3933939054
29,FITA CETIM PROGRESSO 2 - 0219 PRETA,20.0,,,,,,10.0,6.0,3.0,10.0,10,2020,10-2020,6139831830
30,COLA DO ARTESÃO -SILICINE 60ML,35.0,,,,2.0,,9.0,54.3,30.9,24.0,10,2020,10-2020,2254273594
31,BARBANTE APOLO 4 - ROSA,0.0,13.0,,,,,9.0,150.5,58.2,4.0,10,2020,10-2020,7131553418
32,Linha Rayza - Vermelho Passion,10.0,,,,,,8.0,67.82,23.82,2.0,10,2020,10-2020,871095764
33,FITA CETIM PROGRESSO 5 - 0249 MILITAR,30.0,,,,,,8.0,8.0,4.0,22.0,10,2020,10-2020,5777672774
34,TINTA TECIDO ACRILEX 520 PRETO,19.0,,,,,,8.0,28.0,9.5,11.0,10,2020,10-2020,5417446330
35,BOTÃO MADEIRA P,0.0,144.0,,,,,8.0,4.0,2.0,136.0,10,2020,10-2020,2546178608
36,ELASTICO CHATO BRANCO 12 METRO,39.0,,,,,,7.0,7.0,3.5,32.0,10,2020,10-2020,9260559317
37,SISAL ROLO 10MT,10.0,,,,,,7.0,68.27,38.87,3.0,10,2020,10-2020,1121805013
38,ELÁSTICO ROLIÇO BRANCO VENDA METRO,48.0,,,,,,7.0,7.0,3.85,41.0,10,2020,10-2020,1967566461
39,ELASTICO 20MM BRANCO POR METRO,3.0,4.0,,,,,7.0,10.5,5.6,0.0,10,2020,10-2020,9044093449
40,ELASTICO CHATO BRANCO 18 METRO,8.0,,,,,,7.0,9.46,4.56,1.0,10,2020,10-2020,4997618865
41,Linha Rayza - Verde Água,16.0,,,,,,6.0,51.0,18.0,10.0,10,2020,10-2020,6672059972
42,LINHA POLIESTER COSTURA - BRANCA,26.0,1.0,,,,,6.0,36.0,16.8,21.0,10,2020,10-2020,9141303013
43,COLA PANO ACRILEX 35G,9.0,,,,,,6.0,22.5,9.0,3.0,10,2020,10-2020,5071245200
44,BIG CONE euro 6 - CRU ,6.0,,,,,,6.0,258.0,114.0,0.0,10,2020,10-2020,6367221808
45,LÃ MOLLET 100G -0940 PRETO,14.0,,,,,,6.0,60.0,22.2,8.0,10,2020,10-2020,4397560039
46,LÃ MOLLET 100G -7650 AMENDOA,6.0,,,,,,6.0,58.03,20.23,0.0,10,2020,10-2020,481448597
47,ROLO ESPUMA P,6.0,,,,,,6.0,21.0,11.4,0.0,10,2020,10-2020,9485436775
48,OLHO P AMIGURUMI -16 PRETO,22.0,,,,,,6.0,6.0,3.0,16.0,10,2020,10-2020,310036103
49,"AGULHA CROCHE AÇO CIRCULO - 1,75MM",16.0,,,,,,6.0,36.0,15.0,10.0,10,2020,10-2020,7510978463
50,LÃ MOLLET 40G -0115 RUBI,10.0,,,,,,6.0,22.8,7.8,4.0,10,2020,10-2020,9080107693
51,LÃ MOLLET 40G -0385 ,6.0,,,,,,6.0,22.8,7.8,0.0,10,2020,10-2020,4350585848
52,BARBANTE EUROROMA 8 - CHUMBO,7.0,,,,,,6.0,102.0,39.3,1.0,10,2020,10-2020,8054230871
53,"BICO DE PATO 4,5 MM",26.0,,,,,,6.0,3.0,1.5,20.0,10,2020,10-2020,3537856716
54,ELASTICO 06MM BRANCO CHATO ROLO POR METRO,85.0,,,,,,6.0,6.0,3.3,79.0,10,2020,10-2020,9304920390
55,BOTÃO CAMISETE 24,400.0,,,,,,6.0,2.4,0.6,394.0,10,2020,10-2020,4321643364
56,BARBANTE EUROROMA 8 - CINZA,6.0,1.0,,,,,6.0,101.0,43.2,1.0,10,2020,10-2020,7305839422
57,MASSA BISCUIT POLYCOL - 90G BRANCA,0.0,12.0,,,,,6.0,23.4,11.4,6.0,10,2020,10-2020,7538084179
58,Linha Rayza - Marrom Claro,0.0,30.0,,,4.0,,5.0,42.5,15.0,21.0,10,2020,10-2020,4088951407
59,Meada Anchor - 0316,16.0,,,,,,5.0,17.5,8.75,11.0,10,2020,10-2020,2981988864
60,CAMILA FASHION 500  0046,5.0,,,,,,5.0,82.5,26.5,0.0,10,2020,10-2020,9624527798
61,TINTA ACRILICA P TELA - VERDE VESSIE,7.0,,,,,,5.0,37.5,20.0,2.0,10,2020,10-2020,983895015
62,LÃ MOLLET 100G -4817 BRASA,19.0,,,,,,5.0,48.03,16.53,14.0,10,2020,10-2020,1015352030
63,PLÁSTICO ADESIVO - AZULEJO ,6.0,10.0,,,1.0,,5.0,59.0,25.0,10.0,10,2020,10-2020,7243580576
64,ELASTICO 24MM PRETO ROLO 25 MT,22.0,,,,1.0,,5.0,12.5,6.25,16.0,10,2020,10-2020,7723408790
65,LÃ MOLLET 100G -0608 CHOCOLATE,7.0,,,,,,5.0,48.03,15.53,2.0,10,2020,10-2020,7835778405
66,Alfinete de segurança - 50MM,139.0,,,,,,5.0,3.0,1.75,134.0,10,2020,10-2020,9570158067
67,PANO DE PRATO BRANCO EMBAINHADO,69.0,,,,,,5.0,25.0,10.0,64.0,10,2020,10-2020,3148427938
68,Linha Rayza - Verde Bandeira,19.0,,,,,,4.0,34.0,12.0,15.0,10,2020,10-2020,3997029023
69,Meada Anchor - 0047,12.0,,,,,,4.0,14.0,7.0,8.0,10,2020,10-2020,2869270823
70,LETRA METAL 2CM -O,23.0,,,,,,4.0,8.0,4.0,19.0,10,2020,10-2020,5956892334
71,BIG CONE euro 8 -0250 PRETO ,11.0,,,,,,4.0,172.0,76.0,7.0,10,2020,10-2020,5093033453
72,BIG CONE euro 8 -0710 TELHA ,4.0,,,,,,4.0,172.22,70.22,0.0,10,2020,10-2020,4665636902
73,BARBANTE EUROROMA 6 - CRU,4.0,,,,,,4.0,66.0,30.0,0.0,10,2020,10-2020,3538902502
74,BARBANTE LIMA 6 LARANJA,-3.0,6.0,,,,,4.0,65.66,19.66,-1.0,10,2020,10-2020,1772115291
75,BARBANTE LIMA 8 AZUL MARINHO,0.0,3.0,,,,,4.0,65.32,19.32,-1.0,10,2020,10-2020,4314512072
