,Descrição,Código,Fornecedor,Categoria,Unidade,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Descontos,Valor Pago,Total Vendas,Comissão,NCM,CEST,Mês,Ano,Mês/Ano,insertion_id
0,Linha Rayza - Verde Bandeira,98043,,Linha,,7.0,12.5,8.5,59.5,87.5,1.0,0.0,10.0,10.0,0.0,,,06,2021,06-2021,2475565044
1,Linha Rayza - Laranja,98033,,Linha,,6.0,12.5,8.5,51.0,75.0,,,,,,,,06,2021,06-2021,264917682
2,Linha Rayza - Cinza,98012,,Linha,,5.0,12.5,8.5,42.5,62.5,,,,,,,,06,2021,06-2021,6526517419
3,Linha Rayza - Cenoura,98021,,Linha,,2.0,12.5,8.5,17.0,25.0,1.0,0.0,10.0,10.0,0.0,,,06,2021,06-2021,1735394071
4,Linha Rayza - Branco Optico,98001,,Linha,,0.0,12.5,8.5,0.0,0.0,,,,,,,,06,2021,06-2021,2418878873
5,Linha Rayza - Marrom,98023,,Linha,,17.0,12.5,8.5,144.5,212.5,,,,,,,,06,2021,06-2021,7641221024
6,Linha Rayza - Preto,98010,,Linha,,63.0,12.5,8.5,535.5,787.5,7.0,0.0,70.0,70.0,0.0,,,06,2021,06-2021,1569845946
7,Linha Rayza - Bege,98002,,Linha,,22.0,12.5,8.5,187.0,275.0,1.0,0.0,10.0,10.0,0.0,,,06,2021,06-2021,2717540948
8,Linha Rayza - Creme,98003,,Linha,,12.0,12.5,8.5,102.0,150.0,,,,,,,,06,2021,06-2021,2420734882
9,Linha Rayza - Rosa,98004,,Linha,,3.0,12.5,8.5,25.5,37.5,,,,,,,,06,2021,06-2021,4441125227
10,Linha Rayza - Salmão,98005,,Linha,,8.0,12.5,8.5,68.0,100.0,,,,,,,,06,2021,06-2021,1195756088
11,Linha Rayza - Lilás,98006,,Linha,,7.0,12.5,8.5,59.5,87.5,,,,,,,,06,2021,06-2021,772094721
12,Linha Rayza - Amarelo BB,98007,,Linha,,5.0,12.5,8.5,42.5,62.5,,,,,,,,06,2021,06-2021,2917482029
13,Linha Rayza - Vermelho,98008,,Linha,,11.0,12.5,8.5,93.5,137.5,3.0,0.0,30.0,30.0,0.0,,,06,2021,06-2021,5348439964
14,Linha Rayza - Verde Musgo,98009,,Linha,,0.0,12.5,8.5,0.0,0.0,,,,,,,,06,2021,06-2021,228475496
15,Linha Rayza - Azul Claro,98011,,Linha,,0.0,12.5,8.5,0.0,0.0,5.0,0.0,50.0,50.0,0.0,,,06,2021,06-2021,3466506436
16,Linha Rayza - Vinho,98013,,Linha,,6.0,12.5,8.5,51.0,75.0,,,,,,,,06,2021,06-2021,3598216199
17,Linha Rayza - Esmeralda,98014,,Linha,,0.0,12.5,8.5,0.0,0.0,,,,,,,,06,2021,06-2021,3184644556
18,Linha Rayza - Verde Água,98015,,Linha,,8.0,12.5,8.5,68.0,100.0,,,,,,,,06,2021,06-2021,3763613041
19,Linha Rayza - Rosa BB,98017,,Linha,,15.0,12.5,8.5,127.5,187.5,,,,,,,,06,2021,06-2021,3183289593
20,Linha Rayza - Manteiga,98020,,Linha,,16.0,12.5,8.5,136.0,200.0,,,,,,,,06,2021,06-2021,1197883052
21,Linha Rayza - Azul Turquesa,98022,,Linha,,8.0,12.5,8.5,68.0,100.0,,,,,,,,06,2021,06-2021,4685857542
22,Linha Rayza - Violeta,98024,,Linha,,0.0,12.5,8.5,0.0,0.0,1.0,0.0,10.0,10.0,0.0,,,06,2021,06-2021,6035723954
23,Linha Rayza - Pink,98025,,Linha,,12.0,12.5,8.5,102.0,150.0,2.0,0.0,20.0,20.0,0.0,,,06,2021,06-2021,4831247595
24,Linha Rayza - Amarelo Ouro,98026,,Linha,,0.0,12.5,8.5,0.0,0.0,,,,,,,,06,2021,06-2021,839717847
25,Linha Rayza - Azul Royal,98028,,Linha,,0.0,12.5,8.5,0.0,0.0,,,,,,,,06,2021,06-2021,641948658
26,Linha Rayza - Ramy,98029,,Linha,,12.0,12.0,8.5,102.0,144.0,1.0,0.0,10.0,10.0,0.0,,,06,2021,06-2021,5968923965
27,Linha Rayza - Verde Jade,98031,,Linha,,3.0,12.5,8.5,25.5,37.5,1.0,0.0,10.0,10.0,0.0,,,06,2021,06-2021,1301371072
28,Linha Rayza - Framboesa,98034,,Linha,,9.0,12.5,8.5,76.5,112.5,,,,,,,,06,2021,06-2021,2645583704
29,Linha Rayza - Verde Java,98035,,Linha,,19.0,12.5,8.5,161.5,237.5,,,,,,,,06,2021,06-2021,3945861625
30,Linha Rayza - Cardeal,98037,,Linha,,9.0,12.5,8.5,76.5,112.5,,,,,,,,06,2021,06-2021,5112341643
31,Linha Rayza - Azul Bahamas,98039,,Linha,,3.0,12.5,8.5,25.5,37.5,,,,,,,,06,2021,06-2021,5449924923
32,Linha Rayza - Pistache,98042,,Linha,,14.0,12.5,8.5,119.0,175.0,1.0,0.0,10.0,10.0,0.0,,,06,2021,06-2021,9945506266
33,Linha Rayza - Cereja,98045,,Linha,,2.0,12.5,8.5,17.0,25.0,3.0,0.0,30.0,30.0,0.0,,,06,2021,06-2021,7550634298
34,Linha Rayza - Abóbora,98048,,Linha,,6.0,12.5,8.5,51.0,75.0,1.0,0.0,10.0,10.0,0.0,,,06,2021,06-2021,6218611406
35,Linha Rayza - Vermelho Passion,98056,,Linha,,0.0,12.5,8.5,0.0,0.0,,,,,,,,06,2021,06-2021,143957430
36,Linha Rayza - Maravilha,98071,,Linha,,7.0,12.5,8.5,59.5,87.5,,,,,,,,06,2021,06-2021,9536966191
37,Linha Rayza - Roxo,98072,,Linha,,7.0,12.5,8.5,59.5,87.5,1.0,0.0,10.0,10.0,0.0,,,06,2021,06-2021,5670333833
38,Linha Rayza - Rosa Boreal,98075,,Linha,,1.0,12.5,8.5,8.5,12.5,,,,,,,,06,2021,06-2021,8883293427
39,Linha Rayza - Canário,98083,,Linha,,3.0,12.5,8.5,25.5,37.5,,,,,,,,06,2021,06-2021,463287436
40,Linha Rayza - Ouro Velho,98084,,Linha,,0.0,12.5,8.5,0.0,0.0,,,,,,,,06,2021,06-2021,4736461621
41,Linha Rayza - Verde Limão,98085,,Linha,,13.0,12.5,8.5,110.5,162.5,,,,,,,,06,2021,06-2021,3428041705
42,Linha Rayza - Telha,98086,,Linha,,15.0,12.5,8.5,127.5,187.5,5.0,0.0,50.0,50.0,0.0,,,06,2021,06-2021,3097055959
43,Linha Rayza - Verde Cítrico,98087,,Linha,,16.0,12.5,8.5,136.0,200.0,,,,,,,,06,2021,06-2021,1118977575
44,Linha Rayza - Cobalto,98089,,Linha,,11.0,12.5,8.5,93.5,137.5,,,,,,,,06,2021,06-2021,5145603025
45,Linha Rayza - Marrom Claro,98090,,Linha,,14.0,12.5,8.5,119.0,175.0,,,,,,,,06,2021,06-2021,3680358414
46,Linha Rayza - z Mega Hair,98900,,Linha,,6.0,12.5,8.5,51.0,75.0,,,,,,,,06,2021,06-2021,8941395513
