,Descrição,Código,Fornecedor,Categoria,Unidade,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Descontos,Valor Pago,Total Vendas,Comissão,NCM,CEST,Mês,Ano,Mês/Ano,insertion_id
0,Linha Rayza - Verde Bandeira,98043,,Linha,,8.0,10.0,6.5,52.0,80.0,1.0,0.0,9.5,9.5,0.0,,,11,2020,11-2020,3386092929
1,Linha Rayza - Laranja,98033,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,11,2020,11-2020,7955476819
2,Linha Rayza - Cinza,98012,,Linha,,5.0,10.0,6.5,32.5,50.0,5.0,0.0,47.5,47.5,0.0,,,11,2020,11-2020,8820623954
3,Linha Rayza - Cenoura,98021,,Linha,,2.0,10.0,6.5,13.0,20.0,1.0,0.0,9.5,9.5,0.0,,,11,2020,11-2020,6395919682
4,Linha Rayza - Branco Optico,98001,,Linha,,0.0,10.0,6.5,0.0,0.0,4.0,0.0,38.0,38.0,0.0,,,11,2020,11-2020,6691884999
5,Linha Rayza - Marrom,98023,,Linha,,17.0,10.0,6.5,110.5,170.0,,,,,,,,11,2020,11-2020,6262292260
6,Linha Rayza - Preto,98010,,Linha,,83.0,10.0,6.5,539.5,830.0,10.0,0.0,95.0,95.0,0.0,,,11,2020,11-2020,7999376252
7,Linha Rayza - Bege,98002,,Linha,,22.0,10.0,6.5,143.0,220.0,,,,,,,,11,2020,11-2020,746903236
8,Linha Rayza - Creme,98003,,Linha,,12.0,10.0,6.5,78.0,120.0,,,,,,,,11,2020,11-2020,2528311775
9,Linha Rayza - Rosa,98004,,Linha,,4.0,10.0,6.5,26.0,40.0,,,,,,,,11,2020,11-2020,7426232235
10,Linha Rayza - Salmão,98005,,Linha,,8.0,10.0,6.5,52.0,80.0,,,,,,,,11,2020,11-2020,2221781378
11,Linha Rayza - Lilás,98006,,Linha,,7.0,10.0,6.5,45.5,70.0,,,,,,,,11,2020,11-2020,2419388306
12,Linha Rayza - Amarelo BB,98007,,Linha,,6.0,10.0,6.5,39.0,60.0,1.0,0.0,9.5,9.5,0.0,,,11,2020,11-2020,5707241270
13,Linha Rayza - Vermelho,98008,,Linha,,15.0,10.0,6.5,97.5,150.0,2.0,1.0,18.0,18.0,0.0,,,11,2020,11-2020,6329984699
14,Linha Rayza - Verde Musgo,98009,,Linha,,6.0,10.0,6.5,39.0,60.0,1.0,0.0,9.5,9.5,0.0,,,11,2020,11-2020,9980317676
15,Linha Rayza - Azul Claro,98011,,Linha,,3.0,10.0,6.5,19.5,30.0,,,,,,,,11,2020,11-2020,8735410552
16,Linha Rayza - Vinho,98013,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,11,2020,11-2020,3720132917
17,Linha Rayza - Esmeralda,98014,,Linha,,0.0,10.0,6.5,0.0,0.0,3.0,0.23,28.27,28.27,0.0,,,11,2020,11-2020,722903300
18,Linha Rayza - Verde Água,98015,,Linha,,8.0,10.0,6.5,52.0,80.0,,,,,,,,11,2020,11-2020,552376674
19,Linha Rayza - Rosa BB,98017,,Linha,,17.0,10.0,6.5,110.5,170.0,,,,,,,,11,2020,11-2020,1772533315
20,Linha Rayza - Manteiga,98020,,Linha,,17.0,10.0,6.5,110.5,170.0,,,,,,,,11,2020,11-2020,8512522720
21,Linha Rayza - Azul Turquesa,98022,,Linha,,8.0,10.0,6.5,52.0,80.0,,,,,,,,11,2020,11-2020,5930839327
22,Linha Rayza - Violeta,98024,,Linha,,1.0,10.0,6.5,6.5,10.0,,,,,,,,11,2020,11-2020,5968611573
23,Linha Rayza - Pink,98025,,Linha,,13.0,10.0,6.5,84.5,130.0,,,,,,,,11,2020,11-2020,1509049598
24,Linha Rayza - Amarelo Ouro,98026,,Linha,,0.0,10.0,6.5,0.0,0.0,4.0,0.23,37.77,37.77,0.0,,,11,2020,11-2020,8203170136
25,Linha Rayza - Azul Royal,98028,,Linha,,0.0,10.0,6.5,0.0,0.0,,,,,,,,11,2020,11-2020,4389319458
26,Linha Rayza - Ramy,98029,,Linha,,14.0,10.0,6.5,91.0,140.0,,,,,,,,11,2020,11-2020,3816463675
27,Linha Rayza - Verde Jade,98031,,Linha,,3.0,10.0,6.5,19.5,30.0,,,,,,,,11,2020,11-2020,781162858
28,Linha Rayza - Framboesa,98034,,Linha,,9.0,10.0,6.5,58.5,90.0,,,,,,,,11,2020,11-2020,9548706836
29,Linha Rayza - Verde Java,98035,,Linha,,19.0,10.0,6.5,123.5,190.0,,,,,,,,11,2020,11-2020,663653651
30,Linha Rayza - Cardeal,98037,,Linha,,9.0,10.0,6.5,58.5,90.0,,,,,,,,11,2020,11-2020,1171999677
31,Linha Rayza - Azul Bahamas,98039,,Linha,,5.0,10.0,6.5,32.5,50.0,1.0,0.0,9.5,9.5,0.0,,,11,2020,11-2020,9971660817
32,Linha Rayza - Pistache,98042,,Linha,,14.0,10.0,6.5,91.0,140.0,,,,,,,,11,2020,11-2020,7828155260
33,Linha Rayza - Cereja,98045,,Linha,,2.0,10.0,6.5,13.0,20.0,,,,,,,,11,2020,11-2020,8109065657
34,Linha Rayza - Abóbora,98048,,Linha,,7.0,10.0,6.5,45.5,70.0,,,,,,,,11,2020,11-2020,2229227951
35,Linha Rayza - Vermelho Passion,98056,,Linha,,0.0,9.5,5.5,0.0,0.0,,,,,,,,11,2020,11-2020,9974948131
36,Linha Rayza - Maravilha,98071,,Linha,,7.0,10.0,6.5,45.5,70.0,,,,,,,,11,2020,11-2020,2432895713
37,Linha Rayza - Roxo,98072,,Linha,,7.0,10.0,6.5,45.5,70.0,1.0,0.0,9.5,9.5,0.0,,,11,2020,11-2020,1931273650
38,Linha Rayza - Rosa Boreal,98075,,Linha,,1.0,10.0,6.5,6.5,10.0,,,,,,,,11,2020,11-2020,6178138904
39,Linha Rayza - Canário,98083,,Linha,,4.0,10.0,6.5,26.0,40.0,,,,,,,,11,2020,11-2020,7298357664
40,Linha Rayza - Ouro Velho,98084,,Linha,,-1.0,10.0,6.5,-6.5,-10.0,2.0,0.0,19.0,19.0,0.0,,,11,2020,11-2020,9703355599
41,Linha Rayza - Verde Limão,98085,,Linha,,13.0,10.0,6.5,84.5,130.0,,,,,,,,11,2020,11-2020,4905259646
42,Linha Rayza - Telha,98086,,Linha,,16.0,10.0,6.5,104.0,160.0,,,,,,,,11,2020,11-2020,6872358784
43,Linha Rayza - Verde Cítrico,98087,,Linha,,16.0,10.0,6.5,104.0,160.0,,,,,,,,11,2020,11-2020,6277716210
44,Linha Rayza - Cobalto,98089,,Linha,,11.0,10.0,6.5,71.5,110.0,,,,,,,,11,2020,11-2020,6263329019
45,Linha Rayza - Marrom Claro,98090,,Linha,,14.0,10.0,6.5,91.0,140.0,,,,,,,,11,2020,11-2020,7793899576
46,Linha Rayza - z Mega Hair,98900,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,11,2020,11-2020,8295766312
47,Linha Rayza - Verde Malvan,98036,,Linha,,3.0,10.0,6.5,19.5,30.0,,,,,,,,11,2020,11-2020,8377937932
48,Meada Anchor - 0292,4635125-0292,Coats Corrente Ltda,Linha,,17.0,3.9,2.0,34.0,66.3,1.0,0.0,3.5,3.5,0.0,,,11,2020,11-2020,7807948290
49,Meada Anchor - 0293,4635125-0293,,Linha,,28.0,3.9,2.0,56.0,109.2,,,,,,,,11,2020,11-2020,6910210059
50,Meada Anchor - 0295,4635125-0295,,Linha,,22.0,3.9,2.0,44.0,85.8,,,,,,,,11,2020,11-2020,902510936
51,Meada Anchor - 0297,4635125-0297,,Linha,,1.0,3.9,2.0,2.0,3.9,,,,,,,,11,2020,11-2020,8908247412
52,Meada Anchor - 0298,4635125-0298,,Linha,,11.0,3.9,1.85,20.35,42.9,,,,,,,,11,2020,11-2020,5101037399
53,Meada Anchor - 0288,4635125-0288,,Linha,,19.0,3.9,2.0,38.0,74.1,,,,,,,,11,2020,11-2020,1813233350
54,Meada Anchor - 0289,4635125-0289,,Linha,,24.0,3.9,2.0,48.0,93.6,,,,,,,,11,2020,11-2020,179073628
55,Meada Anchor - 0290,4635125-0290,,Linha,,25.0,3.9,2.0,50.0,97.5,,,,,,,,11,2020,11-2020,3802666611
56,Meada Anchor - 0291,4635125-0291,,Linha,,0.0,3.9,1.85,0.0,0.0,2.0,0.0,7.0,7.0,0.0,,,11,2020,11-2020,7938278660
57,Meada Anchor - 0275,4635125-0275,,Linha,,20.0,3.9,2.0,40.0,78.0,,,,,,,,11,2020,11-2020,9985851514
58,Meada Anchor - 0386,4635125-0386,,Linha,,11.0,3.9,2.0,22.0,42.9,,,,,,,,11,2020,11-2020,7507287381
59,Meada Anchor - 0300,4635125-0300,,Linha,,0.0,3.9,2.0,0.0,0.0,,,,,,,,11,2020,11-2020,2268274838
60,Meada Anchor - 0301,7100119,,Linha,,3.0,3.9,2.0,6.0,11.7,,,,,,,,11,2020,11-2020,2765836038
61,Meada Anchor - 0302,4635125-0302,,Linha,,11.0,3.9,2.0,22.0,42.9,,,,,,,,11,2020,11-2020,3984651182
62,Meada Anchor - 0303,4635125-0303,,Linha,,4.0,3.9,2.0,8.0,15.6,2.0,0.0,7.0,7.0,0.0,,,11,2020,11-2020,4407811422
63,Meada Anchor - 0304,4635125-0304,,Linha,,8.0,3.9,2.0,16.0,31.2,,,,,,,,11,2020,11-2020,9992752908
64,Meada Anchor - 0323,4635125-0323,,Linha,,5.0,3.9,2.0,10.0,19.5,,,,,,,,11,2020,11-2020,2484074500
65,Meada Anchor - 0324,4635125-0324,,Linha,,4.0,3.9,2.0,8.0,15.6,,,,,,,,11,2020,11-2020,2294785065
66,Meada Anchor - 0326,4635125-0326,,Linha,,4.0,3.9,2.0,8.0,15.6,,,,,,,,11,2020,11-2020,7423058910
67,Meada Anchor - 0328,4635125-0328,,Linha,,1.0,3.9,2.0,2.0,3.9,,,,,,,,11,2020,11-2020,5062448551
68,Meada Anchor - 0329,4635125-0329,,Linha,,1.0,3.9,2.0,2.0,3.9,,,,,,,,11,2020,11-2020,9975312368
69,Meada Anchor - 0330,4635125-0330,,Linha,,25.0,3.9,1.85,46.25,97.5,,,,,,,,11,2020,11-2020,6612191448
70,Meada Anchor - 0332,4635125-0332,,Linha,,7.0,3.9,2.0,14.0,27.3,,,,,,,,11,2020,11-2020,934713573
71,Meada Anchor - 0333,4635125-0333,,Linha,,9.0,3.9,2.0,18.0,35.1,,,,,,,,11,2020,11-2020,2414425609
72,Meada Anchor - 0334,4635125-0334,,Linha,,20.0,3.9,2.0,40.0,78.0,,,,,,,,11,2020,11-2020,9140002310
73,Meada Anchor - 0335,4635125-0335,,Linha,,6.0,3.9,2.0,12.0,23.4,,,,,,,,11,2020,11-2020,237408257
74,Meada Anchor - 0311,4635125-0311,,Linha,,12.0,3.9,2.0,24.0,46.8,,,,,,,,11,2020,11-2020,3685794795
75,Meada Anchor - 0313,4635125-0313,,Linha,,5.0,3.9,2.0,10.0,19.5,,,,,,,,11,2020,11-2020,9581341459
76,Meada Anchor - 0314,4635125-0314,,Linha,,17.0,3.9,2.0,34.0,66.3,,,,,,,,11,2020,11-2020,6474751699
77,Meada Anchor - 0316,4635125-0316,,Linha,,2.0,3.9,2.0,4.0,7.8,6.0,0.26,20.74,20.74,0.0,,,11,2020,11-2020,8354445564
78,Meada Anchor - 0925,4635125-0925,,Linha,,3.0,3.9,2.0,6.0,11.7,1.0,0.0,3.5,3.5,0.0,,,11,2020,11-2020,8994066923
79,Meada Anchor - 0305,4635125-0305,,Linha,,9.0,3.9,2.0,18.0,35.1,,,,,,,,11,2020,11-2020,3365267844
80,Meada Anchor - 0306,4635125-0306,,Linha,,3.0,3.9,2.0,6.0,11.7,,,,,,,,11,2020,11-2020,2577407589
