,Descrição,Código,Fornecedor,Categoria,Unidade,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Descontos,Valor Pago,Total Vendas,Comissão,NCM,CEST,Mês,Ano,Mês/Ano,insertion_id
0,Linha Rayza - Verde Bandeira,98043,,Linha,,7.0,12.5,8.5,59.5,87.5,,,,,,,,05,2021,05-2021,1978898710
1,Linha Rayza - Laranja,98033,,Linha,,6.0,12.5,8.5,51.0,75.0,,,,,,,,05,2021,05-2021,9466573662
2,Linha Rayza - Cinza,98012,,Linha,,5.0,12.5,8.5,42.5,62.5,,,,,,,,05,2021,05-2021,8511847354
3,Linha Rayza - Cenoura,98021,,Linha,,2.0,12.5,8.5,17.0,25.0,,,,,,,,05,2021,05-2021,6207749479
4,Linha Rayza - Branco Optico,98001,,Linha,,0.0,12.5,8.5,0.0,0.0,12.0,0.0,120.0,120.0,0.0,,,05,2021,05-2021,4926581877
5,Linha Rayza - Marrom,98023,,Linha,,17.0,12.5,8.5,144.5,212.5,1.0,0.0,10.0,10.0,0.0,,,05,2021,05-2021,5628265871
6,Linha Rayza - Preto,98010,,Linha,,63.0,12.5,8.5,535.5,787.5,9.0,0.0,90.0,90.0,0.0,,,05,2021,05-2021,8893453658
7,Linha Rayza - Bege,98002,,Linha,,22.0,12.5,8.5,187.0,275.0,2.0,0.0,20.0,20.0,0.0,,,05,2021,05-2021,725010588
8,Linha Rayza - Creme,98003,,Linha,,12.0,12.5,8.5,102.0,150.0,1.0,0.0,10.0,10.0,0.0,,,05,2021,05-2021,7344442389
9,Linha Rayza - Rosa,98004,,Linha,,3.0,12.5,8.5,25.5,37.5,,,,,,,,05,2021,05-2021,9621290800
10,Linha Rayza - Salmão,98005,,Linha,,8.0,12.5,8.5,68.0,100.0,,,,,,,,05,2021,05-2021,2517696915
11,Linha Rayza - Lilás,98006,,Linha,,7.0,12.5,8.5,59.5,87.5,2.0,0.0,20.0,20.0,0.0,,,05,2021,05-2021,3131872440
12,Linha Rayza - Amarelo BB,98007,,Linha,,5.0,12.5,8.5,42.5,62.5,,,,,,,,05,2021,05-2021,2584205069
13,Linha Rayza - Vermelho,98008,,Linha,,11.0,12.5,8.5,93.5,137.5,4.0,0.0,40.0,40.0,0.0,,,05,2021,05-2021,1204787494
