,Descrição,Código,Fornecedor,Categoria,Unidade,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Descontos,Valor Pago,Total Vendas,Comissão,NCM,CEST,Mês,Ano,Mês/Ano,insertion_id
0,Linha Rayza - Verde Bandeira,98043,,Linha,,8.0,10.0,6.5,52.0,80.0,4.0,0.0,34.0,34.0,0.0,,,10,2020,10-2020,2609059212
1,Linha Rayza - Laranja,98033,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,10,2020,10-2020,7634797639
2,Linha Rayza - Cinza,98012,,Linha,,5.0,10.0,6.5,32.5,50.0,,,,,,,,10,2020,10-2020,5598610859
3,Linha Rayza - Cenoura,98021,,Linha,,2.0,10.0,6.5,13.0,20.0,1.0,0.0,8.5,8.5,0.0,,,10,2020,10-2020,5103393131
4,Linha Rayza - Branco Optico,98001,,Linha,,0.0,10.0,6.5,0.0,0.0,12.0,0.0,102.0,102.0,0.0,,,10,2020,10-2020,7117049033
5,Linha Rayza - Marrom,98023,,Linha,,17.0,10.0,6.5,110.5,170.0,3.0,0.0,25.5,25.5,0.0,,,10,2020,10-2020,6499784693
6,Linha Rayza - Preto,98010,,Linha,,83.0,10.0,6.5,539.5,830.0,23.0,5.02,190.48,190.48,0.0,,,10,2020,10-2020,9182357689
7,Linha Rayza - Bege,98002,,Linha,,22.0,10.0,6.5,143.0,220.0,1.0,0.0,8.5,8.5,0.0,,,10,2020,10-2020,1537483654
8,Linha Rayza - Creme,98003,,Linha,,12.0,10.0,6.5,78.0,120.0,3.0,0.0,25.5,25.5,0.0,,,10,2020,10-2020,5553288589
9,Linha Rayza - Rosa,98004,,Linha,,4.0,10.0,6.5,26.0,40.0,3.0,0.0,25.5,25.5,0.0,,,10,2020,10-2020,1371169110
10,Linha Rayza - Salmão,98005,,Linha,,8.0,10.0,6.5,52.0,80.0,,,,,,,,10,2020,10-2020,1194985820
11,Linha Rayza - Lilás,98006,,Linha,,7.0,10.0,6.5,45.5,70.0,1.0,0.16,8.34,8.34,0.0,,,10,2020,10-2020,2925516586
12,Linha Rayza - Amarelo BB,98007,,Linha,,6.0,10.0,6.5,39.0,60.0,2.0,0.0,17.0,17.0,0.0,,,10,2020,10-2020,1641969863
13,Linha Rayza - Vermelho,98008,,Linha,,15.0,10.0,6.5,97.5,150.0,10.0,0.0,85.0,85.0,0.0,,,10,2020,10-2020,3974215940
14,Linha Rayza - Verde Musgo,98009,,Linha,,6.0,10.0,6.5,39.0,60.0,1.0,0.0,8.5,8.5,0.0,,,10,2020,10-2020,5201343055
15,Linha Rayza - Azul Claro,98011,,Linha,,3.0,10.0,6.5,19.5,30.0,1.0,0.0,8.5,8.5,0.0,,,10,2020,10-2020,6134204947
16,Linha Rayza - Vinho,98013,,Linha,,6.0,10.0,6.5,39.0,60.0,11.0,0.96,92.54,92.54,0.0,,,10,2020,10-2020,5895983770
17,Linha Rayza - Esmeralda,98014,,Linha,,0.0,10.0,6.5,0.0,0.0,2.0,0.0,17.0,17.0,0.0,,,10,2020,10-2020,7955821671
18,Linha Rayza - Verde Água,98015,,Linha,,8.0,10.0,6.5,52.0,80.0,6.0,0.0,51.0,51.0,0.0,,,10,2020,10-2020,5107296585
19,Linha Rayza - Rosa BB,98017,,Linha,,17.0,10.0,6.5,110.5,170.0,,,,,,,,10,2020,10-2020,7879952929
20,Linha Rayza - Manteiga,98020,,Linha,,17.0,10.0,6.5,110.5,170.0,,,,,,,,10,2020,10-2020,7302261359
21,Linha Rayza - Azul Turquesa,98022,,Linha,,8.0,10.0,6.5,52.0,80.0,,,,,,,,10,2020,10-2020,6670871099
22,Linha Rayza - Violeta,98024,,Linha,,1.0,10.0,6.5,6.5,10.0,1.0,0.0,8.5,8.5,0.0,,,10,2020,10-2020,4081444447
23,Linha Rayza - Pink,98025,,Linha,,13.0,10.0,6.5,84.5,130.0,1.0,0.0,8.5,8.5,0.0,,,10,2020,10-2020,1154225388
24,Linha Rayza - Amarelo Ouro,98026,,Linha,,0.0,10.0,6.5,0.0,0.0,1.0,0.0,8.5,8.5,0.0,,,10,2020,10-2020,1394055383
25,Linha Rayza - Azul Royal,98028,,Linha,,0.0,10.0,6.5,0.0,0.0,,,,,,,,10,2020,10-2020,9957558587
26,Linha Rayza - Ramy,98029,,Linha,,14.0,10.0,6.5,91.0,140.0,3.0,0.0,25.5,25.5,0.0,,,10,2020,10-2020,8006747295
27,Linha Rayza - Verde Jade,98031,,Linha,,3.0,10.0,6.5,19.5,30.0,,,,,,,,10,2020,10-2020,5734497687
28,Linha Rayza - Framboesa,98034,,Linha,,9.0,10.0,6.5,58.5,90.0,,,,,,,,10,2020,10-2020,2588218375
29,Linha Rayza - Verde Java,98035,,Linha,,19.0,10.0,6.5,123.5,190.0,,,,,,,,10,2020,10-2020,6471494503
30,Linha Rayza - Cardeal,98037,,Linha,,9.0,10.0,6.5,58.5,90.0,1.0,0.0,8.5,8.5,0.0,,,10,2020,10-2020,358047839
31,Linha Rayza - Azul Bahamas,98039,,Linha,,5.0,10.0,6.5,32.5,50.0,2.0,0.0,17.0,17.0,0.0,,,10,2020,10-2020,820711743
32,Linha Rayza - Pistache,98042,,Linha,,14.0,10.0,6.5,91.0,140.0,,,,,,,,10,2020,10-2020,7103332374
33,Linha Rayza - Cereja,98045,,Linha,,2.0,10.0,6.5,13.0,20.0,,,,,,,,10,2020,10-2020,7680900109
34,Linha Rayza - Abóbora,98048,,Linha,,7.0,10.0,6.5,45.5,70.0,2.0,0.0,17.0,17.0,0.0,,,10,2020,10-2020,8659959766
35,Linha Rayza - Vermelho Passion,98056,,Linha,,0.0,9.5,5.5,0.0,0.0,8.0,0.18,67.82,67.82,0.0,,,10,2020,10-2020,5206108143
36,Linha Rayza - Maravilha,98071,,Linha,,7.0,10.0,6.5,45.5,70.0,1.0,0.0,8.5,8.5,0.0,,,10,2020,10-2020,1878286893
37,Linha Rayza - Roxo,98072,,Linha,,7.0,10.0,6.5,45.5,70.0,,,,,,,,10,2020,10-2020,1487092357
38,Linha Rayza - Rosa Boreal,98075,,Linha,,1.0,10.0,6.5,6.5,10.0,,,,,,,,10,2020,10-2020,8026016024
39,Linha Rayza - Canário,98083,,Linha,,4.0,10.0,6.5,26.0,40.0,,,,,,,,10,2020,10-2020,4895948951
40,Linha Rayza - Ouro Velho,98084,,Linha,,-1.0,10.0,6.5,-6.5,-10.0,1.0,0.0,8.5,8.5,0.0,,,10,2020,10-2020,5988571558
41,Linha Rayza - Verde Limão,98085,,Linha,,13.0,10.0,6.5,84.5,130.0,,,,,,,,10,2020,10-2020,1051376148
42,Linha Rayza - Telha,98086,,Linha,,16.0,10.0,6.5,104.0,160.0,,,,,,,,10,2020,10-2020,4170502795
43,Linha Rayza - Verde Cítrico,98087,,Linha,,16.0,10.0,6.5,104.0,160.0,,,,,,,,10,2020,10-2020,6410383245
44,Linha Rayza - Cobalto,98089,,Linha,,11.0,10.0,6.5,71.5,110.0,1.0,0.0,8.5,8.5,0.0,,,10,2020,10-2020,2755323332
45,Linha Rayza - Marrom Claro,98090,,Linha,,14.0,10.0,6.5,91.0,140.0,5.0,0.0,42.5,42.5,0.0,,,10,2020,10-2020,3469454736
46,Linha Rayza - z Mega Hair,98900,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,10,2020,10-2020,9896850694
47,Linha Rayza - Verde Malvan,98036,,Linha,,3.0,10.0,6.5,19.5,30.0,,,,,,,,10,2020,10-2020,853315925
48,Meada Anchor - 0292,4635125-0292,Coats Corrente Ltda,Linha,,17.0,3.9,2.0,34.0,66.3,,,,,,,,10,2020,10-2020,3057014456
49,Meada Anchor - 0293,4635125-0293,,Linha,,28.0,3.9,2.0,56.0,109.2,,,,,,,,10,2020,10-2020,3986215426
50,Meada Anchor - 0295,4635125-0295,,Linha,,22.0,3.9,2.0,44.0,85.8,,,,,,,,10,2020,10-2020,6162670091
51,Meada Anchor - 0297,4635125-0297,,Linha,,1.0,3.9,2.0,2.0,3.9,2.0,0.0,7.0,7.0,0.0,,,10,2020,10-2020,7174643068
52,Meada Anchor - 0298,4635125-0298,,Linha,,11.0,3.9,1.85,20.35,42.9,,,,,,,,10,2020,10-2020,9273119278
53,Meada Anchor - 0288,4635125-0288,,Linha,,19.0,3.9,2.0,38.0,74.1,,,,,,,,10,2020,10-2020,5605984367
54,Meada Anchor - 0289,4635125-0289,,Linha,,24.0,3.9,2.0,48.0,93.6,,,,,,,,10,2020,10-2020,6717724544
55,Meada Anchor - 0290,4635125-0290,,Linha,,25.0,3.9,2.0,50.0,97.5,,,,,,,,10,2020,10-2020,806190750
56,Meada Anchor - 0291,4635125-0291,,Linha,,0.0,3.9,1.85,0.0,0.0,,,,,,,,10,2020,10-2020,9840352353
57,Meada Anchor - 0275,4635125-0275,,Linha,,20.0,3.9,2.0,40.0,78.0,,,,,,,,10,2020,10-2020,8235181641
58,Meada Anchor - 0386,4635125-0386,,Linha,,11.0,3.9,2.0,22.0,42.9,,,,,,,,10,2020,10-2020,2686208429
59,Meada Anchor - 0300,4635125-0300,,Linha,,0.0,3.9,2.0,0.0,0.0,,,,,,,,10,2020,10-2020,4460137594
60,Meada Anchor - 0301,7100119,,Linha,,3.0,3.9,2.0,6.0,11.7,,,,,,,,10,2020,10-2020,3064871550
61,Meada Anchor - 0302,4635125-0302,,Linha,,11.0,3.9,2.0,22.0,42.9,,,,,,,,10,2020,10-2020,9760862758
62,Meada Anchor - 0303,4635125-0303,,Linha,,4.0,3.9,2.0,8.0,15.6,,,,,,,,10,2020,10-2020,4672225148
63,Meada Anchor - 0304,4635125-0304,,Linha,,8.0,3.9,2.0,16.0,31.2,1.0,0.0,3.5,3.5,0.0,,,10,2020,10-2020,8540099543
64,Meada Anchor - 0323,4635125-0323,,Linha,,5.0,3.9,2.0,10.0,19.5,,,,,,,,10,2020,10-2020,4540294157
65,Meada Anchor - 0324,4635125-0324,,Linha,,4.0,3.9,2.0,8.0,15.6,,,,,,,,10,2020,10-2020,9214349104
66,Meada Anchor - 0326,4635125-0326,,Linha,,4.0,3.9,2.0,8.0,15.6,,,,,,,,10,2020,10-2020,9495124637
67,Meada Anchor - 0328,4635125-0328,,Linha,,1.0,3.9,2.0,2.0,3.9,,,,,,,,10,2020,10-2020,8828220480
68,Meada Anchor - 0329,4635125-0329,,Linha,,1.0,3.9,2.0,2.0,3.9,,,,,,,,10,2020,10-2020,9616453934
69,Meada Anchor - 0330,4635125-0330,,Linha,,25.0,3.9,1.85,46.25,97.5,,,,,,,,10,2020,10-2020,6693343444
70,Meada Anchor - 0332,4635125-0332,,Linha,,7.0,3.9,2.0,14.0,27.3,,,,,,,,10,2020,10-2020,4731343788
