,Descrição,Código,Fornecedor,Categoria,Unidade,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Descontos,Valor Pago,Total Vendas,Comissão,NCM,CEST,Mês,Ano,Mês/Ano,insertion_id
386,Meada Anchor - 0256,4635125-0256,,Linha,,4.0,3.9,2.0,8.0,15.6,,,,,,,,04,2021,04-2021,86415243
387,Meada Anchor - 0259,4635125-0259,,Linha,,12.0,3.9,2.0,24.0,46.8,1.0,0.0,3.9,3.9,0.0,,,04,2021,04-2021,7382255135
388,Meada Anchor - 0260,4635125-0260,,Linha,,14.0,3.9,2.0,28.0,54.6,,,,,,,,04,2021,04-2021,5416101128
389,Meada Anchor - 0261,4635125-0261,,Linha,,7.0,3.9,2.0,14.0,27.3,,,,,,,,04,2021,04-2021,6806939834
390,Meada Anchor - 0262,4635125-0262,,Linha,,0.0,3.9,1.85,0.0,0.0,,,,,,,,04,2021,04-2021,4644709080
391,Meada Anchor - 0859,4635125-0859,,Linha,,23.0,3.9,2.0,46.0,89.7,,,,,,,,04,2021,04-2021,4779177596
392,Meada Anchor - 0860,4635125-0860,,Linha,,19.0,3.9,2.0,38.0,74.1,,,,,,,,04,2021,04-2021,692924073
393,Meada Anchor - 0861,4635125-0861,,Tela,,2.0,3.9,2.0,4.0,7.8,,,,,,,,04,2021,04-2021,8539469776
394,meada Anchor - 0862,4635125-0862,,Linha,,21.0,3.9,2.0,42.0,81.9,,,,,,,,04,2021,04-2021,3617472513
395,Meada Anchor - 0843,4635125-0943,,Linha,,6.0,3.9,2.0,12.0,23.4,,,,,,,,04,2021,04-2021,3182576466
396,Meada Anchor - 0845,4635125-0844,,Linha,,7.0,3.9,2.0,14.0,27.3,,,,,,,,04,2021,04-2021,913775816
397,Meada Anchor - 0846,4635125-0846,,Linha,,14.0,3.9,2.0,28.0,54.6,2.0,0.07,7.73,7.73,0.0,,,04,2021,04-2021,7387850486
398,Meada Anchor - 0681,4635125-0681,,Linha,,13.0,3.9,2.0,26.0,50.7,,,,,,,,04,2021,04-2021,3750315386
399,Meada Anchor - 0278,4635125-0278,,Linha,,18.0,3.9,2.0,36.0,70.2,1.0,0.0,3.9,3.9,0.0,,,04,2021,04-2021,9833366351
400,Meada Anchor - 0279,4635125-0279,,Linha,,19.0,3.9,2.0,38.0,74.1,,,,,,,,04,2021,04-2021,539330228
401,Meada Anchor - 0280,4635125-0280,,Linha,,5.0,3.9,2.0,10.0,19.5,2.0,0.07,7.73,7.73,0.0,,,04,2021,04-2021,6942561005
