,Descrição,Código,Fornecedor,Categoria,Unidade,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Descontos,Valor Pago,Total Vendas,Comissão,NCM,CEST,Mês,Ano,Mês/Ano,insertion_id
0,Linha Rayza - Verde Bandeira,98043,,Linha,,8.0,10.0,6.5,52.0,80.0,1.0,0.06,9.94,9.94,0.0,,,03,2021,03-2021,8959356160
1,Linha Rayza - Laranja,98033,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,03,2021,03-2021,8998489006
2,Linha Rayza - Cinza,98012,,Linha,,5.0,10.0,6.5,32.5,50.0,,,,,,,,03,2021,03-2021,9264034415
3,Linha Rayza - Cenoura,98021,,Linha,,2.0,10.0,6.5,13.0,20.0,,,,,,,,03,2021,03-2021,1957291225
4,Linha Rayza - Branco Optico,98001,,Linha,,0.0,10.0,6.5,0.0,0.0,5.0,0.71,49.29,49.29,0.0,,,03,2021,03-2021,3827910283
5,Linha Rayza - Marrom,98023,,Linha,,17.0,10.0,6.5,110.5,170.0,,,,,,,,03,2021,03-2021,1926264536
6,Linha Rayza - Preto,98010,,Linha,,83.0,10.0,6.5,539.5,830.0,1.0,0.06,9.94,9.94,0.0,,,03,2021,03-2021,6792816302
7,Linha Rayza - Bege,98002,,Linha,,22.0,10.0,6.5,143.0,220.0,4.0,0.0,40.0,40.0,0.0,,,03,2021,03-2021,5758466362
8,Linha Rayza - Creme,98003,,Linha,,12.0,10.0,6.5,78.0,120.0,1.0,0.0,10.0,10.0,0.0,,,03,2021,03-2021,1750975968
9,Linha Rayza - Rosa,98004,,Linha,,4.0,10.0,6.5,26.0,40.0,1.0,0.0,10.0,10.0,0.0,,,03,2021,03-2021,8671940377
10,Linha Rayza - Salmão,98005,,Linha,,8.0,10.0,6.5,52.0,80.0,,,,,,,,03,2021,03-2021,2227911114
11,Linha Rayza - Lilás,98006,,Linha,,7.0,10.0,6.5,45.5,70.0,,,,,,,,03,2021,03-2021,6002517239
12,Linha Rayza - Amarelo BB,98007,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,03,2021,03-2021,2742152439
13,Linha Rayza - Vermelho,98008,,Linha,,15.0,10.0,6.5,97.5,150.0,1.0,0.06,9.94,9.94,0.0,,,03,2021,03-2021,4393868509
14,Linha Rayza - Verde Musgo,98009,,Linha,,6.0,10.0,6.5,39.0,60.0,2.0,0.0,20.0,20.0,0.0,,,03,2021,03-2021,4554634188
15,Linha Rayza - Azul Claro,98011,,Linha,,3.0,10.0,6.5,19.5,30.0,1.0,0.0,10.0,10.0,0.0,,,03,2021,03-2021,4330125319
16,Linha Rayza - Vinho,98013,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,03,2021,03-2021,3152956489
17,Linha Rayza - Esmeralda,98014,,Linha,,0.0,10.0,6.5,0.0,0.0,,,,,,,,03,2021,03-2021,5440768469
18,Linha Rayza - Verde Água,98015,,Linha,,8.0,10.0,6.5,52.0,80.0,1.0,0.0,10.0,10.0,0.0,,,03,2021,03-2021,6068209553
19,Linha Rayza - Rosa BB,98017,,Linha,,17.0,10.0,6.5,110.5,170.0,,,,,,,,03,2021,03-2021,4580550723
20,Linha Rayza - Manteiga,98020,,Linha,,17.0,10.0,6.5,110.5,170.0,,,,,,,,03,2021,03-2021,1240875249
21,Linha Rayza - Azul Turquesa,98022,,Linha,,8.0,10.0,6.5,52.0,80.0,1.0,0.06,9.94,9.94,0.0,,,03,2021,03-2021,2023236869
22,Linha Rayza - Violeta,98024,,Linha,,1.0,10.0,6.5,6.5,10.0,1.0,0.0,10.0,10.0,0.0,,,03,2021,03-2021,5819142868
23,Linha Rayza - Pink,98025,,Linha,,13.0,10.0,6.5,84.5,130.0,,,,,,,,03,2021,03-2021,8027575740
24,Linha Rayza - Amarelo Ouro,98026,,Linha,,0.0,10.0,6.5,0.0,0.0,3.0,0.14,29.86,29.86,0.0,,,03,2021,03-2021,3563589860
25,Linha Rayza - Azul Royal,98028,,Linha,,0.0,10.0,6.5,0.0,0.0,6.0,3.94,56.06,56.06,0.0,,,03,2021,03-2021,6106165751
26,Linha Rayza - Ramy,98029,,Linha,,14.0,10.0,6.5,91.0,140.0,,,,,,,,03,2021,03-2021,9271217580
27,Linha Rayza - Verde Jade,98031,,Linha,,3.0,10.0,6.5,19.5,30.0,,,,,,,,03,2021,03-2021,6358070287
28,Linha Rayza - Framboesa,98034,,Linha,,9.0,10.0,6.5,58.5,90.0,,,,,,,,03,2021,03-2021,9800184469
29,Linha Rayza - Verde Java,98035,,Linha,,19.0,10.0,6.5,123.5,190.0,1.0,0.0,10.0,10.0,0.0,,,03,2021,03-2021,1805462808
30,Linha Rayza - Cardeal,98037,,Linha,,9.0,10.0,6.5,58.5,90.0,,,,,,,,03,2021,03-2021,3200042338
