,Descrição,Código,Fornecedor,Categoria,Unidade,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Descontos,Valor Pago,Total Vendas,Comissão,NCM,CEST,Mês,Ano,Mês/Ano,insertion_id
0,Linha Rayza - Verde Bandeira,98043,,Linha,,8.0,10.0,6.5,52.0,80.0,4.0,0.0,38.0,38.0,0.0,,,12,2020,12-2020,2990602153
1,Linha Rayza - Laranja,98033,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,12,2020,12-2020,3526475760
2,Linha Rayza - Cinza,98012,,Linha,,5.0,10.0,6.5,32.5,50.0,,,,,,,,12,2020,12-2020,9645551535
3,Linha Rayza - Cenoura,98021,,Linha,,2.0,10.0,6.5,13.0,20.0,,,,,,,,12,2020,12-2020,185810552
4,Linha Rayza - Branco Optico,98001,,Linha,,0.0,10.0,6.5,0.0,0.0,4.0,0.0,38.0,38.0,0.0,,,12,2020,12-2020,3031867023
5,Linha Rayza - Marrom,98023,,Linha,,17.0,10.0,6.5,110.5,170.0,4.0,0.0,38.0,38.0,0.0,,,12,2020,12-2020,1516276464
6,Linha Rayza - Preto,98010,,Linha,,83.0,10.0,6.5,539.5,830.0,17.0,0.46,161.04,161.04,0.0,,,12,2020,12-2020,1198414506
7,Linha Rayza - Bege,98002,,Linha,,22.0,10.0,6.5,143.0,220.0,,,,,,,,12,2020,12-2020,4089309034
8,Linha Rayza - Creme,98003,,Linha,,12.0,10.0,6.5,78.0,120.0,,,,,,,,12,2020,12-2020,7621130812
9,Linha Rayza - Rosa,98004,,Linha,,4.0,10.0,6.5,26.0,40.0,,,,,,,,12,2020,12-2020,7191073706
10,Linha Rayza - Salmão,98005,,Linha,,8.0,10.0,6.5,52.0,80.0,,,,,,,,12,2020,12-2020,4773608032
11,Linha Rayza - Lilás,98006,,Linha,,7.0,10.0,6.5,45.5,70.0,,,,,,,,12,2020,12-2020,6060147269
12,Linha Rayza - Amarelo BB,98007,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,12,2020,12-2020,9222341207
13,Linha Rayza - Vermelho,98008,,Linha,,15.0,10.0,6.5,97.5,150.0,2.0,0.0,19.0,19.0,0.0,,,12,2020,12-2020,9519285327
14,Linha Rayza - Verde Musgo,98009,,Linha,,6.0,10.0,6.5,39.0,60.0,1.0,0.0,9.5,9.5,0.0,,,12,2020,12-2020,2259190981
15,Linha Rayza - Azul Claro,98011,,Linha,,3.0,10.0,6.5,19.5,30.0,,,,,,,,12,2020,12-2020,3002691260
16,Linha Rayza - Vinho,98013,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,12,2020,12-2020,5389899951
17,Linha Rayza - Esmeralda,98014,,Linha,,0.0,10.0,6.5,0.0,0.0,,,,,,,,12,2020,12-2020,4143843106
