,Descrição,Código,Fornecedor,Categoria,Unidade,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Descontos,Valor Pago,Total Vendas,Comissão,NCM,CEST,Mês,Ano,Mês/Ano,insertion_id
0,Linha Rayza - Verde Bandeira,98043,,Linha,,8.0,10.0,6.5,52.0,80.0,,,,,,,,07,2020,07-2020,8032077990
1,Linha Rayza - Laranja,98033,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,07,2020,07-2020,8538825628
2,Linha Rayza - Cinza,98012,,Linha,,5.0,10.0,6.5,32.5,50.0,,,,,,,,07,2020,07-2020,8998044413
3,Linha Rayza - Cenoura,98021,,Linha,,2.0,10.0,6.5,13.0,20.0,,,,,,,,07,2020,07-2020,8901462473
4,Linha Rayza - Branco Optico,98001,,Linha,,0.0,10.0,6.5,0.0,0.0,26.0,0.61,220.39,220.39,0.0,,,07,2020,07-2020,7739039192
5,Linha Rayza - Marrom,98023,,Linha,,17.0,10.0,6.5,110.5,170.0,,,,,,,,07,2020,07-2020,7238961087
6,Linha Rayza - Preto,98010,,Linha,,83.0,10.0,6.5,539.5,830.0,16.0,0.0,136.0,136.0,0.0,,,07,2020,07-2020,944028160
7,Linha Rayza - Bege,98002,,Linha,,22.0,10.0,6.5,143.0,220.0,,,,,,,,07,2020,07-2020,6634073386
8,Linha Rayza - Creme,98003,,Linha,,12.0,10.0,6.5,78.0,120.0,5.0,0.5,42.0,42.0,0.0,,,07,2020,07-2020,1405079691
9,Linha Rayza - Rosa,98004,,Linha,,4.0,10.0,6.5,26.0,40.0,1.0,0.0,8.5,8.5,0.0,,,07,2020,07-2020,1960679015
10,Linha Rayza - Salmão,98005,,Linha,,8.0,10.0,6.5,52.0,80.0,,,,,,,,07,2020,07-2020,9620692568
11,Linha Rayza - Lilás,98006,,Linha,,7.0,10.0,6.5,45.5,70.0,2.0,0.0,17.0,17.0,0.0,,,07,2020,07-2020,6395406161
12,Linha Rayza - Amarelo BB,98007,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,07,2020,07-2020,7312831650
13,Linha Rayza - Vermelho,98008,,Linha,,15.0,10.0,6.5,97.5,150.0,4.0,0.0,34.0,34.0,0.0,,,07,2020,07-2020,7933669212
14,Linha Rayza - Verde Musgo,98009,,Linha,,6.0,10.0,6.5,39.0,60.0,1.0,0.0,8.5,8.5,0.0,,,07,2020,07-2020,4723799322
15,Linha Rayza - Azul Claro,98011,,Linha,,3.0,10.0,6.5,19.5,30.0,,,,,,,,07,2020,07-2020,5447527562
16,Linha Rayza - Vinho,98013,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,07,2020,07-2020,9704517889
17,Linha Rayza - Esmeralda,98014,,Linha,,0.0,10.0,6.5,0.0,0.0,,,,,,,,07,2020,07-2020,4040797306
18,Linha Rayza - Verde Água,98015,,Linha,,8.0,10.0,6.5,52.0,80.0,,,,,,,,07,2020,07-2020,6062802067
19,Linha Rayza - Rosa BB,98017,,Linha,,17.0,10.0,6.5,110.5,170.0,,,,,,,,07,2020,07-2020,8948212909
20,Linha Rayza - Manteiga,98020,,Linha,,17.0,10.0,6.5,110.5,170.0,,,,,,,,07,2020,07-2020,2976653878
21,Linha Rayza - Azul Turquesa,98022,,Linha,,8.0,10.0,6.5,52.0,80.0,4.0,0.0,34.0,34.0,0.0,,,07,2020,07-2020,8600129482
22,Linha Rayza - Violeta,98024,,Linha,,1.0,10.0,6.5,6.5,10.0,,,,,,,,07,2020,07-2020,6896547664
23,Linha Rayza - Pink,98025,,Linha,,13.0,10.0,6.5,84.5,130.0,,,,,,,,07,2020,07-2020,9604953371
24,Linha Rayza - Amarelo Ouro,98026,,Linha,,0.0,10.0,6.5,0.0,0.0,6.0,0.5,50.5,50.5,0.0,,,07,2020,07-2020,7973460036
25,Linha Rayza - Azul Royal,98028,,Linha,,0.0,10.0,6.5,0.0,0.0,4.0,0.0,34.0,34.0,0.0,,,07,2020,07-2020,2450057177
26,Linha Rayza - Ramy,98029,,Linha,,14.0,10.0,6.5,91.0,140.0,2.0,0.0,17.0,17.0,0.0,,,07,2020,07-2020,375898872
