,Descrição,Código,Fornecedor,Categoria,Unidade,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Descontos,Valor Pago,Total Vendas,Comissão,NCM,CEST,Mês,Ano,Mês/Ano,insertion_id
0,Linha Rayza - Verde Bandeira,98043,,Linha,,7.0,12.5,8.5,59.5,87.5,,,,,,,,07,2021,07-2021,7808005473
1,Linha Rayza - Laranja,98033,,Linha,,6.0,12.5,8.5,51.0,75.0,,,,,,,,07,2021,07-2021,7142152941
2,Linha Rayza - Cinza,98012,,Linha,,5.0,12.5,8.5,42.5,62.5,,,,,,,,07,2021,07-2021,5526548450
3,Linha Rayza - Cenoura,98021,,Linha,,2.0,12.5,8.5,17.0,25.0,,,,,,,,07,2021,07-2021,1178111686
4,Linha Rayza - Branco Optico,98001,,Linha,,0.0,12.5,8.5,0.0,0.0,,,,,,,,07,2021,07-2021,4225832179
5,Linha Rayza - Marrom,98023,,Linha,,17.0,12.5,8.5,144.5,212.5,,,,,,,,07,2021,07-2021,8090412568
6,Linha Rayza - Preto,98010,,Linha,,63.0,12.5,8.5,535.5,787.5,17.0,0.0,170.0,170.0,0.0,,,07,2021,07-2021,4202263060
7,Linha Rayza - Bege,98002,,Linha,,22.0,12.5,8.5,187.0,275.0,,,,,,,,07,2021,07-2021,9562367652
8,Linha Rayza - Creme,98003,,Linha,,12.0,12.5,8.5,102.0,150.0,,,,,,,,07,2021,07-2021,662380856
9,Linha Rayza - Rosa,98004,,Linha,,3.0,12.5,8.5,25.5,37.5,,,,,,,,07,2021,07-2021,1875058035
10,Linha Rayza - Salmão,98005,,Linha,,8.0,12.5,8.5,68.0,100.0,,,,,,,,07,2021,07-2021,5704031982
11,Linha Rayza - Lilás,98006,,Linha,,7.0,12.5,8.5,59.5,87.5,,,,,,,,07,2021,07-2021,718666285
12,Linha Rayza - Amarelo BB,98007,,Linha,,5.0,12.5,8.5,42.5,62.5,1.0,0.0,10.0,10.0,0.0,,,07,2021,07-2021,2876175683
13,Linha Rayza - Vermelho,98008,,Linha,,11.0,12.5,8.5,93.5,137.5,2.0,0.0,20.0,20.0,0.0,,,07,2021,07-2021,769941555
14,Linha Rayza - Verde Musgo,98009,,Linha,,0.0,12.5,8.5,0.0,0.0,6.0,0.0,60.0,60.0,0.0,,,07,2021,07-2021,2309637294
15,Linha Rayza - Azul Claro,98011,,Linha,,0.0,12.5,8.5,0.0,0.0,3.0,0.0,30.0,30.0,0.0,,,07,2021,07-2021,9795597373
16,Linha Rayza - Vinho,98013,,Linha,,6.0,12.5,8.5,51.0,75.0,,,,,,,,07,2021,07-2021,7626500167
17,Linha Rayza - Esmeralda,98014,,Linha,,0.0,12.5,8.5,0.0,0.0,,,,,,,,07,2021,07-2021,9438501062
18,Linha Rayza - Verde Água,98015,,Linha,,8.0,12.5,8.5,68.0,100.0,,,,,,,,07,2021,07-2021,2450623288
19,Linha Rayza - Rosa BB,98017,,Linha,,15.0,12.5,8.5,127.5,187.5,2.0,0.0,20.0,20.0,0.0,,,07,2021,07-2021,627439262
20,Linha Rayza - Manteiga,98020,,Linha,,16.0,12.5,8.5,136.0,200.0,1.0,0.0,10.0,10.0,0.0,,,07,2021,07-2021,2208895668
21,Linha Rayza - Azul Turquesa,98022,,Linha,,8.0,12.5,8.5,68.0,100.0,,,,,,,,07,2021,07-2021,5388202373
22,Linha Rayza - Violeta,98024,,Linha,,0.0,12.5,8.5,0.0,0.0,5.0,0.0,50.0,50.0,0.0,,,07,2021,07-2021,8883010393
23,Linha Rayza - Pink,98025,,Linha,,12.0,12.5,8.5,102.0,150.0,1.0,0.0,10.0,10.0,0.0,,,07,2021,07-2021,4027720890
24,Linha Rayza - Amarelo Ouro,98026,,Linha,,0.0,12.5,8.5,0.0,0.0,,,,,,,,07,2021,07-2021,6938831888
25,Linha Rayza - Azul Royal,98028,,Linha,,0.0,12.5,8.5,0.0,0.0,,,,,,,,07,2021,07-2021,1655328213
26,Linha Rayza - Ramy,98029,,Linha,,12.0,12.0,8.5,102.0,144.0,1.0,0.0,10.0,10.0,0.0,,,07,2021,07-2021,1257922081
27,Linha Rayza - Verde Jade,98031,,Linha,,3.0,12.5,8.5,25.5,37.5,,,,,,,,07,2021,07-2021,1542869778
28,Linha Rayza - Framboesa,98034,,Linha,,9.0,12.5,8.5,76.5,112.5,,,,,,,,07,2021,07-2021,4889697605
29,Linha Rayza - Verde Java,98035,,Linha,,19.0,12.5,8.5,161.5,237.5,,,,,,,,07,2021,07-2021,1645490860
30,Linha Rayza - Cardeal,98037,,Linha,,9.0,12.5,8.5,76.5,112.5,,,,,,,,07,2021,07-2021,6922557055
31,Linha Rayza - Azul Bahamas,98039,,Linha,,3.0,12.5,8.5,25.5,37.5,2.0,0.0,20.0,20.0,0.0,,,07,2021,07-2021,7626095656
32,Linha Rayza - Pistache,98042,,Linha,,14.0,12.5,8.5,119.0,175.0,,,,,,,,07,2021,07-2021,6071531827
33,Linha Rayza - Cereja,98045,,Linha,,2.0,12.5,8.5,17.0,25.0,,,,,,,,07,2021,07-2021,8734599874
34,Linha Rayza - Abóbora,98048,,Linha,,6.0,12.5,8.5,51.0,75.0,,,,,,,,07,2021,07-2021,1426148675
35,Linha Rayza - Vermelho Passion,98056,,Linha,,0.0,12.5,8.5,0.0,0.0,,,,,,,,07,2021,07-2021,7574995449
36,Linha Rayza - Maravilha,98071,,Linha,,7.0,12.5,8.5,59.5,87.5,,,,,,,,07,2021,07-2021,199042854
37,Linha Rayza - Roxo,98072,,Linha,,7.0,12.5,8.5,59.5,87.5,,,,,,,,07,2021,07-2021,2921541668
38,Linha Rayza - Rosa Boreal,98075,,Linha,,1.0,12.5,8.5,8.5,12.5,,,,,,,,07,2021,07-2021,6174766934
39,Linha Rayza - Canário,98083,,Linha,,3.0,12.5,8.5,25.5,37.5,1.0,0.0,10.0,10.0,0.0,,,07,2021,07-2021,9944547123
40,Linha Rayza - Ouro Velho,98084,,Linha,,0.0,12.5,8.5,0.0,0.0,,,,,,,,07,2021,07-2021,4808296030
41,Linha Rayza - Verde Limão,98085,,Linha,,13.0,12.5,8.5,110.5,162.5,,,,,,,,07,2021,07-2021,1695747226
42,Linha Rayza - Telha,98086,,Linha,,15.0,12.5,8.5,127.5,187.5,,,,,,,,07,2021,07-2021,7907732614
43,Linha Rayza - Verde Cítrico,98087,,Linha,,16.0,12.5,8.5,136.0,200.0,,,,,,,,07,2021,07-2021,2156568544
44,Linha Rayza - Cobalto,98089,,Linha,,11.0,12.5,8.5,93.5,137.5,,,,,,,,07,2021,07-2021,5129893871
45,Linha Rayza - Marrom Claro,98090,,Linha,,14.0,12.5,8.5,119.0,175.0,,,,,,,,07,2021,07-2021,3315039330
46,Linha Rayza - z Mega Hair,98900,,Linha,,6.0,12.5,8.5,51.0,75.0,,,,,,,,07,2021,07-2021,6045176896
47,Linha Rayza - Verde Malvan,98036,,Linha,,3.0,12.5,8.5,25.5,37.5,,,,,,,,07,2021,07-2021,9800065407
48,Meada Anchor - 0292,4635125-0292,Coats Corrente Ltda,Linha,,17.0,3.9,2.0,34.0,66.3,,,,,,,,07,2021,07-2021,4154103458
49,Meada Anchor - 0293,4635125-0293,,Linha,,28.0,3.9,2.0,56.0,109.2,,,,,,,,07,2021,07-2021,6305594777
50,Meada Anchor - 0295,4635125-0295,,Linha,,22.0,3.9,2.0,44.0,85.8,,,,,,,,07,2021,07-2021,8527443606
