,Descrição,Código,Fornecedor,Categoria,Unidade,Estoque Atual,Preço de Venda,Custo Unitário,Custo Total,Preço Total,Quant.Vendas,Descontos,Valor Pago,Total Vendas,Comissão,NCM,CEST,Mês,Ano,Mês/Ano,insertion_id
0,Linha Rayza - Verde Bandeira,98043,,Linha,,8.0,10.0,6.5,52.0,80.0,1.0,0.0,9.5,9.5,0.0,,,01,2021,01-2021,3908453664
1,Linha Rayza - Laranja,98033,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,01,2021,01-2021,6294506071
2,Linha Rayza - Cinza,98012,,Linha,,5.0,10.0,6.5,32.5,50.0,,,,,,,,01,2021,01-2021,2336707295
3,Linha Rayza - Cenoura,98021,,Linha,,2.0,10.0,6.5,13.0,20.0,,,,,,,,01,2021,01-2021,8096197194
4,Linha Rayza - Branco Optico,98001,,Linha,,0.0,10.0,6.5,0.0,0.0,5.0,2.01,45.49,45.49,0.0,,,01,2021,01-2021,1093918364
5,Linha Rayza - Marrom,98023,,Linha,,17.0,10.0,6.5,110.5,170.0,5.0,0.0,47.5,47.5,0.0,,,01,2021,01-2021,6323707831
6,Linha Rayza - Preto,98010,,Linha,,83.0,10.0,6.5,539.5,830.0,,,,,,,,01,2021,01-2021,1009028888
7,Linha Rayza - Bege,98002,,Linha,,22.0,10.0,6.5,143.0,220.0,1.0,0.0,9.5,9.5,0.0,,,01,2021,01-2021,2395774739
8,Linha Rayza - Creme,98003,,Linha,,12.0,10.0,6.5,78.0,120.0,,,,,,,,01,2021,01-2021,6147855181
9,Linha Rayza - Rosa,98004,,Linha,,4.0,10.0,6.5,26.0,40.0,5.0,0.0,47.5,47.5,0.0,,,01,2021,01-2021,7760247639
10,Linha Rayza - Salmão,98005,,Linha,,8.0,10.0,6.5,52.0,80.0,,,,,,,,01,2021,01-2021,387472111
11,Linha Rayza - Lilás,98006,,Linha,,7.0,10.0,6.5,45.5,70.0,,,,,,,,01,2021,01-2021,2003026355
12,Linha Rayza - Amarelo BB,98007,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,01,2021,01-2021,3351460040
13,Linha Rayza - Vermelho,98008,,Linha,,15.0,10.0,6.5,97.5,150.0,2.0,1.07,17.93,17.93,0.0,,,01,2021,01-2021,1824119214
14,Linha Rayza - Verde Musgo,98009,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,01,2021,01-2021,2783341850
15,Linha Rayza - Azul Claro,98011,,Linha,,3.0,10.0,6.5,19.5,30.0,,,,,,,,01,2021,01-2021,3937241894
16,Linha Rayza - Vinho,98013,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,01,2021,01-2021,1746891156
17,Linha Rayza - Esmeralda,98014,,Linha,,0.0,10.0,6.5,0.0,0.0,,,,,,,,01,2021,01-2021,5199916687
18,Linha Rayza - Verde Água,98015,,Linha,,8.0,10.0,6.5,52.0,80.0,,,,,,,,01,2021,01-2021,4008431571
19,Linha Rayza - Rosa BB,98017,,Linha,,17.0,10.0,6.5,110.5,170.0,,,,,,,,01,2021,01-2021,5255061121
20,Linha Rayza - Manteiga,98020,,Linha,,17.0,10.0,6.5,110.5,170.0,,,,,,,,01,2021,01-2021,9646327960
21,Linha Rayza - Azul Turquesa,98022,,Linha,,8.0,10.0,6.5,52.0,80.0,,,,,,,,01,2021,01-2021,2927688308
22,Linha Rayza - Violeta,98024,,Linha,,1.0,10.0,6.5,6.5,10.0,,,,,,,,01,2021,01-2021,7789936659
23,Linha Rayza - Pink,98025,,Linha,,13.0,10.0,6.5,84.5,130.0,,,,,,,,01,2021,01-2021,3092172471
24,Linha Rayza - Amarelo Ouro,98026,,Linha,,0.0,10.0,6.5,0.0,0.0,1.0,0.0,9.5,9.5,0.0,,,01,2021,01-2021,8091145713
25,Linha Rayza - Azul Royal,98028,,Linha,,0.0,10.0,6.5,0.0,0.0,,,,,,,,01,2021,01-2021,798330673
26,Linha Rayza - Ramy,98029,,Linha,,14.0,10.0,6.5,91.0,140.0,,,,,,,,01,2021,01-2021,8843221379
27,Linha Rayza - Verde Jade,98031,,Linha,,3.0,10.0,6.5,19.5,30.0,,,,,,,,01,2021,01-2021,4486070336
28,Linha Rayza - Framboesa,98034,,Linha,,9.0,10.0,6.5,58.5,90.0,,,,,,,,01,2021,01-2021,1804045870
29,Linha Rayza - Verde Java,98035,,Linha,,19.0,10.0,6.5,123.5,190.0,,,,,,,,01,2021,01-2021,3219273916
30,Linha Rayza - Cardeal,98037,,Linha,,9.0,10.0,6.5,58.5,90.0,,,,,,,,01,2021,01-2021,3705184601
31,Linha Rayza - Azul Bahamas,98039,,Linha,,5.0,10.0,6.5,32.5,50.0,,,,,,,,01,2021,01-2021,6397000985
32,Linha Rayza - Pistache,98042,,Linha,,14.0,10.0,6.5,91.0,140.0,,,,,,,,01,2021,01-2021,7481821223
33,Linha Rayza - Cereja,98045,,Linha,,2.0,10.0,6.5,13.0,20.0,,,,,,,,01,2021,01-2021,799648811
34,Linha Rayza - Abóbora,98048,,Linha,,7.0,10.0,6.5,45.5,70.0,,,,,,,,01,2021,01-2021,5813031044
35,Linha Rayza - Vermelho Passion,98056,,Linha,,0.0,9.5,5.5,0.0,0.0,,,,,,,,01,2021,01-2021,7442603609
36,Linha Rayza - Maravilha,98071,,Linha,,7.0,10.0,6.5,45.5,70.0,,,,,,,,01,2021,01-2021,8227659077
37,Linha Rayza - Roxo,98072,,Linha,,7.0,10.0,6.5,45.5,70.0,,,,,,,,01,2021,01-2021,992242995
38,Linha Rayza - Rosa Boreal,98075,,Linha,,1.0,10.0,6.5,6.5,10.0,,,,,,,,01,2021,01-2021,8774824468
39,Linha Rayza - Canário,98083,,Linha,,4.0,10.0,6.5,26.0,40.0,,,,,,,,01,2021,01-2021,6586165842
40,Linha Rayza - Ouro Velho,98084,,Linha,,-1.0,10.0,6.5,-6.5,-10.0,,,,,,,,01,2021,01-2021,1261122639
41,Linha Rayza - Verde Limão,98085,,Linha,,13.0,10.0,6.5,84.5,130.0,,,,,,,,01,2021,01-2021,1324298896
42,Linha Rayza - Telha,98086,,Linha,,16.0,10.0,6.5,104.0,160.0,,,,,,,,01,2021,01-2021,8216492590
43,Linha Rayza - Verde Cítrico,98087,,Linha,,16.0,10.0,6.5,104.0,160.0,,,,,,,,01,2021,01-2021,4135347098
44,Linha Rayza - Cobalto,98089,,Linha,,11.0,10.0,6.5,71.5,110.0,,,,,,,,01,2021,01-2021,1437368475
45,Linha Rayza - Marrom Claro,98090,,Linha,,14.0,10.0,6.5,91.0,140.0,4.0,0.0,38.0,38.0,0.0,,,01,2021,01-2021,8141282063
46,Linha Rayza - z Mega Hair,98900,,Linha,,6.0,10.0,6.5,39.0,60.0,,,,,,,,01,2021,01-2021,8134124859
